version,2.3.0
info,balls_per_over,6
info,team,Bhutan
info,team,Myanmar
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2025/12/24
info,event,Myanmar tour of Bhutan
info,match_id,1515011
info,match_type,T20
info,match_type_number,3650
info,overs,20
info,match_number,2
info,venue,Gelephu International Cricket Ground
info,city,Gelephu
info,toss_winner,Myanmar
info,toss_decision,field
info,player_of_match,Namgay Thinley
info,umpire,ON Pradhan
info,umpire,U Dorji
info,reserve_umpire,Subas Lama
info,tv_umpire,AK Rai
info,target_overs,2,20
info,target_runs,2,217
info,winner,Bhutan
info,winner_runs,120
info,player,Bhutan,Namgay Thinley
info,player,Bhutan,Tenjin Rabgey
info,player,Bhutan,RM Dorji
info,player,Bhutan,Tashi Dorji
info,player,Bhutan,T Jamtsho
info,player,Bhutan,GK Ghalley
info,player,Bhutan,T Wangchuk
info,player,Bhutan,Tshering Tashi
info,player,Bhutan,Tashi Phuntsho
info,player,Bhutan,Karma Dorji
info,player,Bhutan,S Yeshi
info,player,Myanmar,Pyae Phyo Wai
info,player,Myanmar,H Lin Oo
info,player,Myanmar,KK Lin Thu
info,player,Myanmar,H Lin Aung
info,player,Myanmar,Khin Aye
info,player,Myanmar,Myat Thu Aung
info,player,Myanmar,Thuya Aung
info,player,Myanmar,Nyeing Cham Soe
info,player,Myanmar,Y Naing Tun
info,player,Myanmar,Nay Lin Htun
info,player,Myanmar,Kaung Htet Kyaw
info,registry,people,AK Rai,1d70834a
info,registry,people,GK Ghalley,2d1b6dee
info,registry,people,H Lin Aung,c343a8c6
info,registry,people,H Lin Oo,2e005bfd
info,registry,people,KK Lin Thu,6cf75582
info,registry,people,Karma Dorji,80058153
info,registry,people,Kaung Htet Kyaw,e1bd3e2e
info,registry,people,Khin Aye,ad2efd29
info,registry,people,Myat Thu Aung,cebbf3c9
info,registry,people,Namgay Thinley,9c333e40
info,registry,people,Nay Lin Htun,5319f95b
info,registry,people,Nyeing Cham Soe,45b5ce8d
info,registry,people,ON Pradhan,d41a08d6
info,registry,people,Pyae Phyo Wai,09e86895
info,registry,people,RM Dorji,3d7f02d4
info,registry,people,S Yeshi,0c24fb7b
info,registry,people,Subas Lama,0a0c48dc
info,registry,people,T Jamtsho,c01d1c0a
info,registry,people,T Wangchuk,39799e49
info,registry,people,Tashi Dorji,0f05655d
info,registry,people,Tashi Phuntsho,43d365ca
info,registry,people,Tenjin Rabgey,1fed517a
info,registry,people,Thuya Aung,2e092d2c
info,registry,people,Tshering Tashi,596c60cf
info,registry,people,U Dorji,12bba2d4
info,registry,people,Ugyen Dorji,ffb65f46
info,registry,people,Y Naing Tun,97b109d2
