version,2.3.0
info,balls_per_over,6
info,team,Germany
info,team,Switzerland
info,gender,female
info,team_type,international
info,season,2026
info,date,2026/07/11
info,match_id,1544139
info,match_type,T20
info,match_type_number,2913
info,overs,20
info,event,Switzerland Women tour of Germany
info,match_number,3
info,venue,SSC Karlsruhe
info,city,Karlsruhe
info,toss_winner,Germany
info,toss_decision,bat
info,player_of_match,A Meyenborg
info,target_overs,2,20
info,target_runs,2,99
info,winner,Germany
info,winner_runs,13
info,player,Germany,W Hornero-Garcia
info,player,Germany,Aishani Kishore
info,player,Germany,Gargi Arya
info,player,Germany,A Kanukuntla
info,player,Germany,S Kolcharam
info,player,Germany,Rameesha Shahid
info,player,Germany,A Kohli
info,player,Germany,V Stolle
info,player,Germany,A Meyenborg
info,player,Germany,Yukthi Suresh
info,player,Germany,I Edwards
info,player,Switzerland,L Pickard
info,player,Switzerland,Vani Dhanuka
info,player,Switzerland,Meghna Rajan
info,player,Switzerland,Natalie Clarke
info,player,Switzerland,Amrita Sasidharan
info,player,Switzerland,F Kuenburg
info,player,Switzerland,D Medagoda
info,player,Switzerland,S Dabholkatr
info,player,Switzerland,Naina Saju
info,player,Switzerland,Samiha Konuganti
info,player,Switzerland,Sejal Vinod
info,registry,people,A Kanukuntla,2fa8a697
info,registry,people,A Kohli,eb9082b2
info,registry,people,A Meyenborg,edbc9441
info,registry,people,Aishani Kishore,2bd89375
info,registry,people,Amrita Sasidharan,b21446f8
info,registry,people,D Medagoda,77b49bd9
info,registry,people,F Kuenburg,07c1fd15
info,registry,people,Gargi Arya,656b696c
info,registry,people,I Edwards,42095275
info,registry,people,L Pickard,bfe58c8a
info,registry,people,Meghna Rajan,97ae78b7
info,registry,people,Naina Saju,756989cf
info,registry,people,Natalie Clarke,739ed6df
info,registry,people,Rameesha Shahid,b810425e
info,registry,people,S Dabholkatr,280dc48c
info,registry,people,S Kolcharam,761c929e
info,registry,people,Samiha Konuganti,8e051da2
info,registry,people,Sejal Vinod,4ec107c8
info,registry,people,V Stolle,0dc4ac6c
info,registry,people,Vani Dhanuka,98132a18
info,registry,people,W Hornero-Garcia,7d5fef52
info,registry,people,Yukthi Suresh,4b437302
