match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1339615,2023,2023-04-15,"Gaddafi Stadium, Lahore",1,0.1,0.1,Pakistan,New Zealand,Mohammad Rizwan,Babar Azam,MJ Henry,0,0,,,,,,,,,,,,,
1339615,2023,2023-04-15,"Gaddafi Stadium, Lahore",1,0.2,0.2,Pakistan,New Zealand,Mohammad Rizwan,Babar Azam,MJ Henry,0,0,,,,,,,,,,,,,
1339615,2023,2023-04-15,"Gaddafi Stadium, Lahore",1,0.3,0.3,Pakistan,New Zealand,Mohammad Rizwan,Babar Azam,MJ Henry,1,0,,,,,,,,,,,,,
1339615,2023,2023-04-15,"Gaddafi Stadium, Lahore",1,0.4,0.4,Pakistan,New Zealand,Babar Azam,Mohammad Rizwan,MJ Henry,0,0,,,,,,,,,,,,,
1339615,2023,2023-04-15,"Gaddafi Stadium, Lahore",1,0.5,0.5,Pakistan,New Zealand,Babar Azam,Mohammad Rizwan,MJ Henry,0,0,,,,,,,,,,,,,
1339615,2023,2023-04-15,"Gaddafi Stadium, Lahore",1,0.6,0.6,Pakistan,New Zealand,Babar Azam,Mohammad Rizwan,MJ Henry,1,0,,,,,,,,,,,,,
1339615,2023,2023-04-15,"Gaddafi Stadium, Lahore",1,1.1,1.1,Pakistan,New Zealand,Babar Azam,Mohammad Rizwan,HB Shipley,1,0,,,,,,,,,,,,,
1339615,2023,2023-04-15,"Gaddafi Stadium, Lahore",1,1.2,1.2,Pakistan,New Zealand,Mohammad Rizwan,Babar Azam,HB Shipley,0,0,,,,,,,,,,,,,
1339615,2023,2023-04-15,"Gaddafi Stadium, Lahore",1,1.3,1.3,Pakistan,New Zealand,Mohammad Rizwan,Babar Azam,HB Shipley,4,0,,,,,,,,,,,,,
1339615,2023,2023-04-15,"Gaddafi Stadium, Lahore",1,1.4,1.4,Pakistan,New Zealand,Mohammad Rizwan,Babar Azam,HB Shipley,1,0,,,,,,,,,,,,,
