version,2.3.0
info,balls_per_over,6
info,team,Romania
info,team,Bulgaria
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/05/08
info,event,Bulgaria tour of Romania
info,match_id,1534590
info,match_type,T20
info,match_type_number,3844
info,overs,20
info,match_number,1
info,venue,"Moara Vlasiei Cricket Ground, Ilfov County"
info,city,Ilfov County
info,toss_winner,Romania
info,toss_decision,bat
info,player_of_match,Irfan Ringku
info,target_overs,2,20
info,target_runs,2,165
info,winner,Romania
info,winner_runs,31
info,player,Romania,Taranjeet Singh
info,player,Romania,R Satheesan
info,player,Romania,Avishka Iroshan
info,player,Romania,V Saini
info,player,Romania,Chamalka Fernando
info,player,Romania,Irfan Ringku
info,player,Romania,T Sandaruwan
info,player,Romania,Eranga De Silva
info,player,Romania,S Vashisht
info,player,Romania,Dilum Fernando
info,player,Romania,J Khadka
info,player,Bulgaria,H Lakov
info,player,Bulgaria,Isa Zaroo
info,player,Bulgaria,M Gogev
info,player,Bulgaria,K Krishnakumar
info,player,Bulgaria,Manan Bashir
info,player,Bulgaria,Firas Hussain
info,player,Bulgaria,Jakob Gul
info,player,Bulgaria,A Dowling
info,player,Bulgaria,J Dowling
info,player,Bulgaria,O Duff
info,player,Bulgaria,P Mishra
info,registry,people,A Dowling,ec064d97
info,registry,people,Avishka Iroshan,2964821b
info,registry,people,Chamalka Fernando,cedf2c91
info,registry,people,Dilum Fernando,f6ba97c6
info,registry,people,Eranga De Silva,9a8e35ea
info,registry,people,Firas Hussain,261d591a
info,registry,people,H Lakov,87a6f411
info,registry,people,Irfan Ringku,fa0d1410
info,registry,people,Isa Zaroo,9822fb85
info,registry,people,J Dowling,9f16f7c8
info,registry,people,J Khadka,191ee2f2
info,registry,people,Jakob Gul,a4696d64
info,registry,people,K Krishnakumar,ff60c8ba
info,registry,people,M Gogev,995fd3b2
info,registry,people,Manan Bashir,5c14bd52
info,registry,people,O Duff,550c9b2c
info,registry,people,P Mishra,3fa5672e
info,registry,people,R Satheesan,1125ebe4
info,registry,people,S Vashisht,20ac8219
info,registry,people,T Sandaruwan,2c31f58a
info,registry,people,Taranjeet Singh,ec483176
info,registry,people,V Saini,0fa81719
