version,2.3.0
info,balls_per_over,6
info,team,Portugal
info,team,France
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/04/06
info,event,Portugal T20 Tri-Series
info,match_id,1528302
info,match_type,T20
info,match_type_number,3803
info,overs,20
info,match_number,4
info,venue,Santarem Cricket Ground
info,city,Albergaria
info,toss_winner,Portugal
info,toss_decision,bat
info,player_of_match,C De Freitas
info,target_overs,2,8
info,target_runs,2,96
info,winner,Portugal
info,winner_runs,28
info,method,D/L
info,player,Portugal,D Norotam
info,player,Portugal,C De Freitas
info,player,Portugal,J Martins
info,player,Portugal,Edward Fleming
info,player,Portugal,Natim Hassam
info,player,Portugal,C Nunes
info,player,Portugal,R Hashu
info,player,Portugal,C Greenshields
info,player,Portugal,JAM Henri
info,player,Portugal,S Vaz
info,player,Portugal,Deep Harian
info,player,France,Mukhtar Ghulami
info,player,France,Nasibullah Arab
info,player,France,Noman Amjad
info,player,France,C Roberts
info,player,France,Zada Sher
info,player,France,G Mckeon
info,player,France,L Canessane
info,player,France,Dawood Ahmadzai
info,player,France,Mohammad Khan Rafah
info,player,France,Rahimgul Naseri
info,player,France,Usman Khan
info,registry,people,C De Freitas,22072cab
info,registry,people,C Greenshields,55f0e741
info,registry,people,C Nunes,37ee5d23
info,registry,people,C Roberts,07ac9c54
info,registry,people,D Norotam,90b73986
info,registry,people,Dawood Ahmadzai,951686f5
info,registry,people,Deep Harian,79a29279
info,registry,people,Edward Fleming,2b43be58
info,registry,people,G Mckeon,31366b7e
info,registry,people,J Martins,9c96b71f
info,registry,people,JAM Henri,04df9697
info,registry,people,L Canessane,72a4c3b2
info,registry,people,Mohammad Khan Rafah,bb5f73de
info,registry,people,Mukhtar Ghulami,d3b1d991
info,registry,people,Nasibullah Arab,99926083
info,registry,people,Natim Hassam,c802af1c
info,registry,people,Noman Amjad,c079c66a
info,registry,people,R Hashu,a53029a1
info,registry,people,Rahimgul Naseri,bf07cc63
info,registry,people,S Vaz,ad67ab56
info,registry,people,Usman Khan,e8a552ef
info,registry,people,Zada Sher,5cf163a5
