version,2.3.0
info,balls_per_over,6
info,team,United States of America
info,team,Nepal
info,team_type,international
info,gender,female
info,season,2026
info,date,2026/04/18
info,event,ICC Women's T20I Challenge Trophy
info,match_id,1531151
info,match_type,T20
info,match_type_number,2726
info,overs,20
info,match_number,2
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,Pooja Ganesh
info,umpire,D Odhiambo
info,umpire,L Rusere
info,match_referee,J Chibhabha
info,target_overs,2,20
info,target_runs,2,124
info,winner,United States of America
info,winner_runs,44
info,player,United States of America,S Kambalapalli
info,player,United States of America,CR Pagydyala
info,player,United States of America,IM Vaghela
info,player,United States of America,Pooja Ganesh
info,player,United States of America,GC Bhogle
info,player,United States of America,RP Singh
info,player,United States of America,AI Chudasama
info,player,United States of America,T Chopra
info,player,United States of America,JL Aras
info,player,United States of America,L Shetty
info,player,United States of America,Maahi Madhavan
info,player,Nepal,Samjhana Khadka
info,player,Nepal,B Rawal
info,player,Nepal,Puja Mahato
info,player,Nepal,I Barma
info,player,Nepal,K Kunwar
info,player,Nepal,Roma Thapa
info,player,Nepal,RC Belbashi
info,player,Nepal,K Joshi
info,player,Nepal,R Chaudhary
info,player,Nepal,Riya Sharma
info,player,Nepal,M Upadhayay
info,registry,people,AI Chudasama,9414a81c
info,registry,people,B Rawal,4d1cc284
info,registry,people,CR Pagydyala,d7c02672
info,registry,people,D Odhiambo,45994517
info,registry,people,GC Bhogle,a1965ce2
info,registry,people,I Barma,521abce2
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,J Chibhabha,4c5c47a4
info,registry,people,JL Aras,e21475a5
info,registry,people,K Joshi,0cd297b9
info,registry,people,K Kunwar,97e6e41a
info,registry,people,L Rusere,6a4734ae
info,registry,people,L Shetty,f0a0ed1d
info,registry,people,M Upadhayay,cdda92be
info,registry,people,Maahi Madhavan,c6002ece
info,registry,people,Pooja Ganesh,a186b627
info,registry,people,Puja Mahato,4b95058b
info,registry,people,R Chaudhary,bc6f4dac
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,RP Singh,0ab3c788
info,registry,people,Riya Sharma,8b7cda26
info,registry,people,Roma Thapa,05d9faac
info,registry,people,S Kambalapalli,4fd4cef9
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,T Chopra,73df1fe8
