version,2.3.0
info,balls_per_over,6
info,team,New Zealand
info,team,Australia
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2025/10/04
info,event,Australia tour of New Zealand
info,match_id,1491716
info,match_type,T20
info,match_type_number,3499
info,overs,20
info,match_number,3
info,venue,"Bay Oval, Mount Maunganui"
info,city,Mount Maunganui
info,toss_winner,Australia
info,toss_decision,field
info,player_of_match,MR Marsh
info,umpire,CM Brown
info,umpire,SB Haig
info,reserve_umpire,WR Knights
info,tv_umpire,C Black
info,match_referee,Prakash Bhatt
info,target_overs,2,20
info,target_runs,2,157
info,winner,Australia
info,winner_wickets,3
info,player,New Zealand,TL Seifert
info,player,New Zealand,DP Conway
info,player,New Zealand,TB Robinson
info,player,New Zealand,MS Chapman
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,MG Bracewell
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MJ Henry
info,player,New Zealand,BV Sears
info,player,New Zealand,IS Sodhi
info,player,New Zealand,JA Duffy
info,player,Australia,MR Marsh
info,player,Australia,TM Head
info,player,Australia,MW Short
info,player,Australia,TH David
info,player,Australia,AT Carey
info,player,Australia,MP Stoinis
info,player,Australia,MJ Owen
info,player,Australia,XC Bartlett
info,player,Australia,SA Abbott
info,player,Australia,A Zampa
info,player,Australia,JR Hazlewood
info,registry,people,A Zampa,14f96089
info,registry,people,AT Carey,69d03465
info,registry,people,BV Sears,e1891e00
info,registry,people,C Black,75b42f71
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DP Conway,df5a6881
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MS Chapman,7fa12533
info,registry,people,MW Short,a90e53ec
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SB Haig,811655b3
info,registry,people,TB Robinson,5d664346
info,registry,people,TH David,f1f99156
info,registry,people,TL Seifert,4663bd23
info,registry,people,TM Head,12b610c2
info,registry,people,WR Knights,63cbf8d8
info,registry,people,XC Bartlett,3b53243a
