version,2.3.0
info,balls_per_over,6
info,team,New Zealand
info,team,South Africa
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2026/03/15
info,event,South Africa tour of New Zealand
info,match_id,1491735
info,match_type,T20
info,match_type_number,3772
info,overs,20
info,match_number,1
info,venue,"Bay Oval, Mount Maunganui"
info,city,Mount Maunganui
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,N Mokoena
info,umpire,CM Brown
info,umpire,WR Knights
info,reserve_umpire,SB Haig
info,tv_umpire,Kim Cotton
info,match_referee,Dave Gilbert
info,target_overs,2,20
info,target_runs,2,92
info,winner,South Africa
info,winner_wickets,7
info,player,New Zealand,DP Conway
info,player,New Zealand,TWM Latham
info,player,New Zealand,TB Robinson
info,player,New Zealand,NF Kelly
info,player,New Zealand,BJ Jacobs
info,player,New Zealand,MJ Santner
info,player,New Zealand,JDS Neesham
info,player,New Zealand,CE McConchie
info,player,New Zealand,ZGF Foulkes
info,player,New Zealand,KA Jamieson
info,player,New Zealand,BV Sears
info,player,South Africa,T de Zorzi
info,player,South Africa,C Esterhuizen
info,player,South Africa,RA Herman
info,player,South Africa,JF Smith
info,player,South Africa,D Forrester
info,player,South Africa,J Hermann
info,player,South Africa,GF Linde
info,player,South Africa,G Coetzee
info,player,South Africa,KA Maharaj
info,player,South Africa,N Mokoena
info,player,South Africa,OEG Baartman
info,registry,people,BJ Jacobs,972f217b
info,registry,people,BV Sears,e1891e00
info,registry,people,C Esterhuizen,ef9acbcc
info,registry,people,CE McConchie,d285acaf
info,registry,people,CM Brown,448f4f1c
info,registry,people,D Forrester,23393635
info,registry,people,DP Conway,df5a6881
info,registry,people,Dave Gilbert,aa782370
info,registry,people,G Coetzee,3204c99f
info,registry,people,GF Linde,e5437608
info,registry,people,J Hermann,e87aeca2
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JF Smith,91cd48e0
info,registry,people,KA Jamieson,68c56d09
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,MJ Santner,e4a0deae
info,registry,people,N Mokoena,201facae
info,registry,people,NF Kelly,97f437ed
info,registry,people,OEG Baartman,6b9eb501
info,registry,people,RA Herman,9c821d2e
info,registry,people,SB Haig,811655b3
info,registry,people,T de Zorzi,d3a1c63d
info,registry,people,TB Robinson,5d664346
info,registry,people,TWM Latham,e824e6ee
info,registry,people,WR Knights,63cbf8d8
info,registry,people,ZGF Foulkes,30f92334
