version,2.3.0
info,balls_per_over,6
info,team,Netherlands
info,team,United States of America
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/06/13
info,event,United States of America Women tour of Netherlands
info,match_id,1487655
info,match_type,T20
info,match_type_number,2371
info,overs,20
info,match_number,5
info,venue,"Sportpark Maarschalkerweerd, Utrecht"
info,city,Utrecht
info,toss_winner,Netherlands
info,toss_decision,bat
info,player_of_match,IJR Zwilling
info,umpire,M Prabhudesa
info,umpire,WPM van Liemt
info,reserve_umpire,J Westerberg
info,match_referee,Adriaan van den Dries
info,target_overs,2,20
info,target_runs,2,150
info,winner,Netherlands
info,winner_runs,75
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,P Molkenboer
info,player,Netherlands,B de Leede
info,player,Netherlands,SL Kalis
info,player,Netherlands,R Rijke
info,player,Netherlands,F Overdijk
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,C de Lange
info,player,Netherlands,HWA Landheer
info,player,Netherlands,L Hamilton
info,player,Netherlands,S Siegers
info,player,United States of America,D Dhingra
info,player,United States of America,CR Pagydyala
info,player,United States of America,RP Singh
info,player,United States of America,AI Chudasama
info,player,United States of America,G Kodali
info,player,United States of America,JM Willathgamuwa
info,player,United States of America,Pooja Ganesh
info,player,United States of America,M Patwardhan
info,player,United States of America,JL Aras
info,player,United States of America,L Shetty
info,player,United States of America,S Immadi
info,registry,people,AI Chudasama,9414a81c
info,registry,people,Adriaan van den Dries,94b5ec3b
info,registry,people,B de Leede,b3020075
info,registry,people,C de Lange,c6a019f5
info,registry,people,CR Pagydyala,d7c02672
info,registry,people,D Dhingra,b0dc5d0d
info,registry,people,F Overdijk,022745d5
info,registry,people,G Kodali,f606177e
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,J Westerberg,eaad0353
info,registry,people,JL Aras,e21475a5
info,registry,people,JM Willathgamuwa,0a10b268
info,registry,people,L Hamilton,4fbe9e03
info,registry,people,L Shetty,f0a0ed1d
info,registry,people,M Patwardhan,2e2233df
info,registry,people,M Prabhudesa,c36bcd1e
info,registry,people,P Molkenboer,fa9db243
info,registry,people,Pooja Ganesh,a186b627
info,registry,people,R Rijke,42e4b276
info,registry,people,RP Singh,0ab3c788
info,registry,people,S Immadi,a6dd06d6
info,registry,people,S Siegers,9a58f2c8
info,registry,people,SL Kalis,2b150c6b
info,registry,people,WPM van Liemt,2bd48588
