version,2.3.0
info,balls_per_over,6
info,team,Vanuatu
info,team,Italy
info,team_type,international
info,gender,female
info,season,2026
info,date,2026/04/28
info,event,ICC Women's T20I Challenge Trophy
info,match_id,1531165
info,match_type,T20
info,match_type_number,2748
info,overs,20
info,match_number,16
info,venue,"Gahanga B Ground, Rwanda"
info,city,Kigali City
info,toss_winner,Italy
info,toss_decision,field
info,player_of_match,EL Bartram
info,umpire,F Mutizwa
info,umpire,VR Angara
info,reserve_umpire,L Rusere
info,match_referee,J Chibhabha
info,target_overs,2,20
info,target_runs,2,154
info,winner,Italy
info,winner_runs,8
info,method,D/L
info,player,Vanuatu,V Langiatu
info,player,Vanuatu,S Stephen
info,player,Vanuatu,R Andrew
info,player,Vanuatu,N Navaika
info,player,Vanuatu,A Chilia
info,player,Vanuatu,A Griffin
info,player,Vanuatu,G Chilia
info,player,Vanuatu,MV Fare
info,player,Vanuatu,N Kakor
info,player,Vanuatu,R Ova
info,player,Vanuatu,V Vira
info,player,Italy,A Kontopirakis
info,player,Italy,EL Bartram
info,player,Italy,HA Daluwatta
info,player,Italy,Ilenia Sims
info,player,Italy,ECB Moore
info,player,Italy,M Rathnayake
info,player,Italy,Amaya Rajapaksha
info,player,Italy,C Mahamalage
info,player,Italy,D Nanayakkara
info,player,Italy,S Kanankege
info,player,Italy,S Malwatta
info,registry,people,A Chilia,a0d07fd6
info,registry,people,A Griffin,de1c0045
info,registry,people,A Kontopirakis,4f05f64e
info,registry,people,Amaya Rajapaksha,9b52731d
info,registry,people,C Mahamalage,3250b7db
info,registry,people,D Nanayakkara,dbf22922
info,registry,people,ECB Moore,d0ff93a9
info,registry,people,EL Bartram,5fa7f030
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,G Chilia,daf255ce
info,registry,people,HA Daluwatta,8bbfc744
info,registry,people,Ilenia Sims,03c98aa6
info,registry,people,J Chibhabha,4c5c47a4
info,registry,people,L Rusere,6a4734ae
info,registry,people,M Rathnayake,a969dc4c
info,registry,people,MV Fare,314463cc
info,registry,people,N Kakor,1bc685ee
info,registry,people,N Navaika,b0023708
info,registry,people,R Andrew,66c1accf
info,registry,people,R Ova,88bba252
info,registry,people,S Kanankege,01815edc
info,registry,people,S Malwatta,bc11f3a3
info,registry,people,S Stephen,b48304b5
info,registry,people,V Langiatu,fdd18ca0
info,registry,people,V Vira,94271647
info,registry,people,VR Angara,5b7b706f
