version,2.3.0
info,balls_per_over,6
info,team,France
info,team,Portugal
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/04/05
info,event,Portugal T20 Tri-Series
info,match_id,1528300
info,match_type,T20
info,match_type_number,3800
info,overs,20
info,match_number,2
info,venue,Santarem Cricket Ground
info,city,Albergaria
info,toss_winner,France
info,toss_decision,bat
info,player_of_match,J Martins
info,target_overs,2,20
info,target_runs,2,129
info,winner,Portugal
info,winner_wickets,6
info,player,France,G Mckeon
info,player,France,Nasibullah Arab
info,player,France,Noman Amjad
info,player,France,C Roberts
info,player,France,Zada Sher
info,player,France,Jamshid Nasiri
info,player,France,Mohammad Khan Rafah
info,player,France,L Canessane
info,player,France,Usman Khan
info,player,France,Dawood Ahmadzai
info,player,France,Rahimgul Naseri
info,player,Portugal,D Norotam
info,player,Portugal,C De Freitas
info,player,Portugal,J Martins
info,player,Portugal,C Potgieter
info,player,Portugal,C Greenshields
info,player,Portugal,C Nunes
info,player,Portugal,Sirajullah Khadim
info,player,Portugal,Natim Hassam
info,player,Portugal,R Hashu
info,player,Portugal,Edward Fleming
info,player,Portugal,U Shantu
info,registry,people,C De Freitas,22072cab
info,registry,people,C Greenshields,55f0e741
info,registry,people,C Nunes,37ee5d23
info,registry,people,C Potgieter,d3bdc89c
info,registry,people,C Roberts,07ac9c54
info,registry,people,D Norotam,90b73986
info,registry,people,Dawood Ahmadzai,951686f5
info,registry,people,Edward Fleming,2b43be58
info,registry,people,G Mckeon,31366b7e
info,registry,people,J Martins,9c96b71f
info,registry,people,Jamshid Nasiri,2bc636df
info,registry,people,L Canessane,72a4c3b2
info,registry,people,Mohammad Khan Rafah,bb5f73de
info,registry,people,Nasibullah Arab,99926083
info,registry,people,Natim Hassam,c802af1c
info,registry,people,Noman Amjad,c079c66a
info,registry,people,R Hashu,a53029a1
info,registry,people,Rahimgul Naseri,bf07cc63
info,registry,people,Sirajullah Khadim,ff36e706
info,registry,people,U Shantu,0e80e47d
info,registry,people,Usman Khan,e8a552ef
info,registry,people,Zada Sher,5cf163a5
