version,2.3.0
info,balls_per_over,6
info,team,Pakistan
info,team,South Africa
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2026/02/16
info,event,Pakistan Women tour of South Africa
info,match_id,1477599
info,match_type,T20
info,match_type_number,2674
info,overs,20
info,match_number,3
info,venue,"Willowmoore Park, Benoni"
info,city,Benoni
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,Fatima Sana
info,umpire,K Klaaste
info,umpire,N Perera
info,reserve_umpire,Lauren Agenbag
info,tv_umpire,S Lackay
info,match_referee,SA Fritz
info,target_overs,2,20
info,target_runs,2,145
info,winner,Pakistan
info,winner_runs,53
info,player,Pakistan,Muneeba Ali
info,player,Pakistan,Gull Feroza
info,player,Pakistan,Ayesha Zafar
info,player,Pakistan,Sidra Ameen
info,player,Pakistan,Natalia Pervaiz
info,player,Pakistan,Aliya Riaz
info,player,Pakistan,Fatima Sana
info,player,Pakistan,Tuba Hassan
info,player,Pakistan,Tasmia Rubab
info,player,Pakistan,Nashra Sandhu
info,player,Pakistan,Sadia Iqbal
info,player,South Africa,T Brits
info,player,South Africa,L Goodall
info,player,South Africa,L Wolvaardt
info,player,South Africa,D van Niekerk
info,player,South Africa,N de Klerk
info,player,South Africa,A Dercksen
info,player,South Africa,K Meso
info,player,South Africa,M Klaas
info,player,South Africa,A Khaka
info,player,South Africa,N Mlaba
info,player,South Africa,M Kapp
info,registry,people,A Dercksen,d2b1f515
info,registry,people,A Khaka,0d518f89
info,registry,people,Aliya Riaz,2904b4b6
info,registry,people,Ayesha Zafar,e15f4fa4
info,registry,people,D van Niekerk,8c5775f3
info,registry,people,Fatima Sana,ea9c54de
info,registry,people,Gull Feroza,9ff1e91e
info,registry,people,K Klaaste,6cc1d918
info,registry,people,K Meso,130336c6
info,registry,people,L Goodall,0bb32e98
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Klaas,ce85fcaf
info,registry,people,Muneeba Ali,86fdf668
info,registry,people,N Mlaba,686362af
info,registry,people,N Perera,129709f9
info,registry,people,N de Klerk,ea544967
info,registry,people,Nashra Sandhu,c981d3c2
info,registry,people,Natalia Pervaiz,fa8a3eb0
info,registry,people,S Lackay,d3a9aadd
info,registry,people,SA Fritz,d15e60c8
info,registry,people,Sadia Iqbal,53bb50f0
info,registry,people,Sidra Ameen,72c9ad99
info,registry,people,T Brits,06659caa
info,registry,people,Tasmia Rubab,bf350134
info,registry,people,Tuba Hassan,0d56e9a5
