version,2.3.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Ireland
info,team_type,international
info,gender,female
info,season,2023/24
info,date,2024/01/21
info,event,Ireland Women tour of Zimbabwe
info,match_id,1415981
info,match_type,ODI
info,match_type_number,1361
info,overs,50
info,match_number,2
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,Ireland
info,toss_decision,field
info,umpire,D Shawane
info,umpire,S Dambanevana
info,reserve_umpire,C Tlou
info,match_referee,O Chirombe
info,target_overs,2,43
info,target_runs,2,203
info,outcome,tie
info,method,D/L
info,player,Zimbabwe,M Musonda
info,player,Zimbabwe,CT Dhururu
info,player,Zimbabwe,P Mujaji
info,player,Zimbabwe,A Ndiraya
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,N Gwanzura
info,player,Zimbabwe,L Tshuma
info,player,Zimbabwe,P Marange
info,player,Zimbabwe,N Sibanda
info,player,Zimbabwe,F Chipare
info,player,Zimbabwe,L Mabhero
info,player,Ireland,L Paul
info,player,Ireland,GH Lewis
info,player,Ireland,A Hunter
info,player,Ireland,O Prendergast
info,player,Ireland,L Delany
info,player,Ireland,R Stokell
info,player,Ireland,AN Kelly
info,player,Ireland,A Canning
info,player,Ireland,J Maguire
info,player,Ireland,C Murray
info,player,Ireland,FA Sargent
info,registry,people,A Canning,ffd5fcd8
info,registry,people,A Hunter,e8fa03ed
info,registry,people,A Ndiraya,c8e6bddd
info,registry,people,AN Kelly,397369e0
info,registry,people,C Murray,5a50471c
info,registry,people,C Tlou,b08de60e
info,registry,people,CT Dhururu,8d7fba79
info,registry,people,D Shawane,021e0d95
info,registry,people,F Chipare,c0dc015b
info,registry,people,FA Sargent,fa6e2cb3
info,registry,people,GH Lewis,1b9d1579
info,registry,people,J Maguire,1b1c23bb
info,registry,people,K Ndlovu,8d25271a
info,registry,people,L Delany,b4f73b44
info,registry,people,L Mabhero,37f9eb59
info,registry,people,L Paul,07248d8e
info,registry,people,L Tshuma,f281dd00
info,registry,people,M Musonda,94b52754
info,registry,people,N Gwanzura,9c2e3040
info,registry,people,N Sibanda,edf62a25
info,registry,people,O Chirombe,6345307f
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,P Marange,a4f1fdd4
info,registry,people,P Mujaji,a246f48f
info,registry,people,R Stokell,def7b1bb
info,registry,people,S Dambanevana,039923bd
