version,2.3.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Ireland
info,team_type,international
info,gender,male
info,season,2022/23
info,date,2023/03/18
info,event,Ireland tour of Bangladesh
info,match_id,1355717
info,match_type,ODI
info,match_type_number,4539
info,overs,50
info,match_number,1
info,venue,Sylhet International Cricket Stadium
info,city,Sylhet
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,Towhid Hridoy
info,umpire,RJ Tucker
info,umpire,Tanvir Ahmed
info,reserve_umpire,Masudur Rahman
info,tv_umpire,Sharfuddoula
info,match_referee,DC Boon
info,target_overs,2,50
info,target_runs,2,339
info,winner,Bangladesh
info,winner_runs,183
info,player,Bangladesh,Tamim Iqbal
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Towhid Hridoy
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Yasir Ali Chowdhury
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Nasum Ahmed
info,player,Bangladesh,Mustafizur Rahman
info,player,Bangladesh,Ebadat Hossain
info,player,Ireland,ST Doheny
info,player,Ireland,PR Stirling
info,player,Ireland,A Balbirnie
info,player,Ireland,HT Tector
info,player,Ireland,L Tucker
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,GJ Delany
info,player,Ireland,AR McBrine
info,player,Ireland,MR Adair
info,player,Ireland,GI Hume
info,registry,people,A Balbirnie,6ef13460
info,registry,people,AR McBrine,e957b38f
info,registry,people,C Campher,478a63e7
info,registry,people,DC Boon,e79a1fe3
info,registry,people,Ebadat Hossain,cb5100f1
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GI Hume,25550d06
info,registry,people,GJ Delany,33b3d2df
info,registry,people,HT Tector,59ea70a4
info,registry,people,L Tucker,3979b5e0
info,registry,people,Liton Das,0404d43c
info,registry,people,MR Adair,fc55ec67
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nasum Ahmed,37654b75
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,PR Stirling,cf494ffe
info,registry,people,RJ Tucker,38810cfc
info,registry,people,ST Doheny,4992d6f6
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Tamim Iqbal,3b041a12
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,Towhid Hridoy,9e52a414
info,registry,people,Yasir Ali Chowdhury,5791b840
