version,2.3.0
info,balls_per_over,6
info,team,Pakistan
info,team,South Africa
info,team_type,international
info,gender,male
info,season,2003/04
info,date,2003/10/10
info,event,South Africa tour of Pakistan
info,match_id,64841
info,match_type,ODI
info,match_type_number,2049
info,overs,50
info,match_number,4
info,venue,Rawalpindi Cricket Stadium
info,city,Rawalpindi
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,A Nel
info,umpire,Aleem Dar
info,umpire,DB Hair
info,tv_umpire,Asad Rauf
info,match_referee,CH Lloyd
info,target_overs,2,50
info,target_runs,2,158
info,winner,South Africa
info,winner_wickets,6
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Yasir Hameed
info,player,Pakistan,Faisal Iqbal
info,player,Pakistan,Yousuf Youhana
info,player,Pakistan,Younis Khan
info,player,Pakistan,Naved Latif
info,player,Pakistan,Shoaib Malik
info,player,Pakistan,Rashid Latif
info,player,Pakistan,Shoaib Akhtar
info,player,Pakistan,Mohammad Sami
info,player,Pakistan,Shabbir Ahmed
info,player,South Africa,GC Smith
info,player,South Africa,HH Gibbs
info,player,South Africa,JH Kallis
info,player,South Africa,JA Rudolph
info,player,South Africa,HH Dippenaar
info,player,South Africa,MV Boucher
info,player,South Africa,SM Pollock
info,player,South Africa,AJ Hall
info,player,South Africa,RJ Peterson
info,player,South Africa,A Nel
info,player,South Africa,M Ntini
info,registry,people,A Nel,2503e881
info,registry,people,AJ Hall,6b0c3a20
info,registry,people,Aleem Dar,f02778d1
info,registry,people,Asad Rauf,861606b7
info,registry,people,CH Lloyd,5b445db0
info,registry,people,DB Hair,492e1a8e
info,registry,people,Faisal Iqbal,267269e1
info,registry,people,GC Smith,72861603
info,registry,people,HH Dippenaar,98ecf62a
info,registry,people,HH Gibbs,e1d1b294
info,registry,people,JA Rudolph,42537f07
info,registry,people,JH Kallis,86dc8f2e
info,registry,people,M Ntini,20a941bb
info,registry,people,MV Boucher,f3cb53a1
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,Mohammad Sami,68ddabdb
info,registry,people,Naved Latif,261d6559
info,registry,people,RJ Peterson,26ff4c29
info,registry,people,Rashid Latif,d32782ae
info,registry,people,SM Pollock,88fccd6c
info,registry,people,Shabbir Ahmed,3d189742
info,registry,people,Shoaib Akhtar,10a91f35
info,registry,people,Shoaib Malik,64c34cd0
info,registry,people,Yasir Hameed,f144d99b
info,registry,people,Younis Khan,33cb3411
info,registry,people,Yousuf Youhana,e237b28c
