version,2.3.0
info,balls_per_over,6
info,team,United States of America
info,team,Namibia
info,team_type,international
info,gender,male
info,season,2024/25
info,date,2025/02/08
info,event,ICC Men's Cricket World Cup League 2
info,match_id,1468879
info,match_type,ODI
info,match_type_number,4826
info,overs,50
info,match_number,49
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Namibia
info,toss_decision,field
info,player_of_match,Milind Kumar
info,umpire,Harikrishna Pillai
info,umpire,Rahul Asher
info,reserve_umpire,Bismillah Shinwari
info,match_referee,V Narayan Kutty
info,target_overs,2,43
info,target_runs,2,294
info,winner,United States of America
info,winner_runs,114
info,player,United States of America,SK Patel
info,player,United States of America,AGS Gous
info,player,United States of America,MD Patel
info,player,United States of America,SR Mukkamalla
info,player,United States of America,Milind Kumar
info,player,United States of America,Aaron Jones
info,player,United States of America,SP Krishnamurthi
info,player,United States of America,Harmeet Singh
info,player,United States of America,SC van Schalkwyk
info,player,United States of America,NP Kenjige
info,player,United States of America,SN Netravalkar
info,player,Namibia,JP Kotze
info,player,Namibia,ZE Green
info,player,Namibia,JN Frylinck
info,player,Namibia,MG Erasmus
info,player,Namibia,MB Kruger
info,player,Namibia,JJ Smit
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,R Trumpelmann
info,player,Namibia,S Fouché
info,player,Namibia,BM Scholtz
info,player,Namibia,B Shikongo
info,registry,people,AGS Gous,d1305df0
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,B Shikongo,c26cd57a
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,Bismillah Shinwari,cae815a0
info,registry,people,Harikrishna Pillai,ed918c90
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,JP Kotze,9f308dfc
info,registry,people,MB Kruger,c51add25
info,registry,people,MD Patel,25d7f1ac
info,registry,people,MG Erasmus,95a5e066
info,registry,people,Milind Kumar,b4296080
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,R Trumpelmann,ff6a7ab5
info,registry,people,Rahul Asher,4956b0bf
info,registry,people,S Fouché,89ce57a8
info,registry,people,SC van Schalkwyk,97b0e4ff
info,registry,people,SK Patel,f93b43dd
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,SP Krishnamurthi,3b8e7647
info,registry,people,SR Mukkamalla,156d0ea2
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,ZE Green,8716233e
