version,2.3.0
info,balls_per_over,6
info,team,Namibia
info,team,Netherlands
info,team_type,international
info,gender,male
info,season,2024/25
info,date,2025/03/13
info,event,ICC Men's Cricket World Cup League 2
info,match_id,1474413
info,match_type,ODI
info,match_type_number,4859
info,overs,50
info,match_number,59
info,venue,"Wanderers Cricket Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Namibia
info,toss_decision,bat
info,player_of_match,CN Ackermann
info,umpire,A Louw
info,umpire,I Chabi
info,reserve_umpire,Claus Schumacher
info,match_referee,S Wadvalla
info,target_overs,2,50
info,target_runs,2,149
info,winner,Netherlands
info,winner_wickets,7
info,player,Namibia,ZE Green
info,player,Namibia,N Davin
info,player,Namibia,JN Frylinck
info,player,Namibia,MG Erasmus
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,MB Kruger
info,player,Namibia,JJ Smit
info,player,Namibia,R Trumpelmann
info,player,Namibia,S Fouché
info,player,Namibia,BM Scholtz
info,player,Namibia,T Lungameni
info,player,Netherlands,Vikramjit Singh
info,player,Netherlands,MP O'Dowd
info,player,Netherlands,ZB Lion-Cachet
info,player,Netherlands,CN Ackermann
info,player,Netherlands,SA Edwards
info,player,Netherlands,BFW de Leede
info,player,Netherlands,AT Nidamanuru
info,player,Netherlands,T van der Gugten
info,player,Netherlands,K Klein
info,player,Netherlands,A Dutt
info,player,Netherlands,PA van Meekeren
info,registry,people,A Dutt,803dbf1d
info,registry,people,A Louw,5eecae5d
info,registry,people,AT Nidamanuru,a319edf8
info,registry,people,BFW de Leede,fc4375ef
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,CN Ackermann,e734d090
info,registry,people,Claus Schumacher,85645e62
info,registry,people,I Chabi,5e39110e
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,K Klein,374bb5e7
info,registry,people,MB Kruger,c51add25
info,registry,people,MG Erasmus,95a5e066
info,registry,people,MP O'Dowd,b699df47
info,registry,people,N Davin,72e361fe
info,registry,people,PA van Meekeren,4557dc54
info,registry,people,R Trumpelmann,ff6a7ab5
info,registry,people,S Fouché,89ce57a8
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SA Edwards,b59db04f
info,registry,people,T Lungameni,1688f2dc
info,registry,people,T van der Gugten,d99cc23a
info,registry,people,Vikramjit Singh,2a9eee66
info,registry,people,ZB Lion-Cachet,d99de998
info,registry,people,ZE Green,8716233e
