version,1.8.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Gujarat Titans
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/04/04
info,event,Indian Premier League
info,match_id,1527682
info,match_type,T20
info,overs,20
info,match_number,9
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Rajasthan Royals
info,toss_decision,bat
info,player_of_match,Ravi Bishnoi
info,umpire,R Pandit
info,umpire,UV Gandhe
info,reserve_umpire,A Bengeri
info,tv_umpire,J Madanagopal
info,match_referee,J Srinath
info,target_overs,2,20
info,target_runs,2,211
info,winner,Rajasthan Royals
info,winner_runs,6
info,player,Rajasthan Royals,Ravi Bishnoi
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,D Ferreira
info,player,Rajasthan Royals,RA Jadeja
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,N Burger
info,player,Rajasthan Royals,TU Deshpande
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Gujarat Titans,M Prasidh Krishna
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Kumar Kushagra
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,GD Phillips
info,player,Gujarat Titans,Washington Sundar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,K Rabada
info,player,Gujarat Titans,Ashok Sharma
info,player,Gujarat Titans,Mohammed Siraj
info,registry,people,A Bengeri,c109497d
info,registry,people,Ashok Sharma,50c09020
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,D Ferreira,f0af99a7
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,K Rabada,e62dd25d
info,registry,people,Kumar Kushagra,57ca01b3
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,N Burger,465aa633
info,registry,people,R Pandit,8a604384
info,registry,people,R Parag,04a418e8
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,UV Gandhe,43dd4011
info,registry,people,V Suryavanshi,470f446b
info,registry,people,Washington Sundar,f19ccfad
info,registry,people,YBK Jaiswal,6c19c6e5
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Siraj,1,0,,,,,,"","",0.1,,,,
ball,1,0.2,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Mohammed Siraj,4,0,,,,,,"","",0.2,,,,
ball,1,0.3,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Mohammed Siraj,0,0,,,,,,"","",0.3,,,,
ball,1,0.4,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Mohammed Siraj,4,0,,,,,,"","",0.4,,,,
ball,1,0.5,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Mohammed Siraj,1,0,,,,,,"","",0.5,,,,
ball,1,0.6,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Siraj,0,0,,,,,,"","",0.6,,,,
ball,1,1.1,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,K Rabada,1,0,,,,,,"","",1.1,,,,
ball,1,1.2,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,K Rabada,1,0,,,,,,"","",1.2,,,,
ball,1,1.3,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,K Rabada,0,0,,,,,,"","",1.3,,,,
ball,1,1.4,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,K Rabada,0,1,1,,,,,"","",1.4,,,,
ball,1,1.5,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,K Rabada,0,0,,,,,,"","",1.4,,,,
ball,1,1.6,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,K Rabada,4,0,,,,,,"","",1.5,,,,
ball,1,1.7,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,K Rabada,0,0,,,,,,"","",1.6,,,,
ball,1,2.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Siraj,6,0,,,,,,"","",2.1,,,,
ball,1,2.2,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Siraj,4,0,,,,,,"","",2.2,,,,
ball,1,2.3,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Siraj,0,1,1,,,,,"","",2.3,,,,
ball,1,2.4,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Siraj,0,0,,,,,,"","",2.3,,,,
ball,1,2.5,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Siraj,4,0,,,,,,"","",2.4,,,,
ball,1,2.6,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Siraj,0,0,,,,,,"","",2.5,,,,
ball,1,2.7,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Siraj,0,0,,,,,,"","",2.6,,,,
ball,1,3.1,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,K Rabada,0,0,,,,,,"","",3.1,,,,
ball,1,3.2,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,K Rabada,0,1,1,,,,,"","",3.2,,,,
ball,1,3.3,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,K Rabada,4,0,,,,,,"","",3.2,,,,
ball,1,3.4,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,K Rabada,1,0,,,,,,"","",3.3,,,,
ball,1,3.5,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,K Rabada,0,0,,,,,,"","",3.4,,,,
ball,1,3.6,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,K Rabada,0,0,,,,,,"","",3.5,,,,
ball,1,3.7,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,K Rabada,6,0,,,,,,"","",3.6,,,,
ball,1,4.1,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Ashok Sharma,4,0,,,,,,"","",4.1,,,,
ball,1,4.2,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Ashok Sharma,6,0,,,,,,"","",4.2,,,,
ball,1,4.3,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Ashok Sharma,1,0,,,,,,"","",4.3,,,,
