version,1.8.0
info,balls_per_over,6
info,team,Punjab Kings
info,team,Rajasthan Royals
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/04/28
info,event,Indian Premier League
info,match_id,1529283
info,match_type,T20
info,overs,20
info,match_number,40
info,venue,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh"
info,city,New Chandigarh
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,D Ferreira
info,umpire,Nitin Menon
info,umpire,TM Srivastava
info,reserve_umpire,MV Saidharshan Kumar
info,tv_umpire,KM Gandhi
info,match_referee,Amit Sharma
info,target_overs,2,20
info,target_runs,2,223
info,winner,Rajasthan Royals
info,winner_wickets,6
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,Priyansh Arya
info,player,Punjab Kings,C Connolly
info,player,Punjab Kings,SS Iyer
info,player,Punjab Kings,MP Stoinis
info,player,Punjab Kings,Suryansh Shedge
info,player,Punjab Kings,N Wadhera
info,player,Punjab Kings,M Jansen
info,player,Punjab Kings,LH Ferguson
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,YS Chahal
info,player,Rajasthan Royals,Yash Raj Punja
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,D Ferreira
info,player,Rajasthan Royals,SB Dubey
info,player,Rajasthan Royals,RA Jadeja
info,player,Rajasthan Royals,MD Shanaka
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,N Burger
info,player,Rajasthan Royals,Brijesh Sharma
info,registry,people,Amit Sharma,7ea3e0cc
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Brijesh Sharma,133bbd61
info,registry,people,C Connolly,fe366f34
info,registry,people,D Ferreira,f0af99a7
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,JC Archer,5574750c
info,registry,people,KM Gandhi,a9421c64
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,M Jansen,81c36ee9
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,N Burger,465aa633
info,registry,people,N Wadhera,d1a60072
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,P Simran Singh,9418198b
info,registry,people,Priyansh Arya,b5797845
info,registry,people,R Parag,04a418e8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,SB Dubey,6b2ff18f
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Suryansh Shedge,970ddd24
info,registry,people,TM Srivastava,a76d10ba
info,registry,people,V Suryavanshi,470f446b
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
info,registry,people,Yash Raj Punja,02dfebbe
ball,1,0.1,Punjab Kings,P Simran Singh,Priyansh Arya,JC Archer,0,0,,,,,,"","",0.1,,,,
ball,1,0.2,Punjab Kings,P Simran Singh,Priyansh Arya,JC Archer,4,0,,,,,,"","",0.2,,,,
ball,1,0.3,Punjab Kings,P Simran Singh,Priyansh Arya,JC Archer,0,4,,,,4,,"","",0.3,,,,
ball,1,0.4,Punjab Kings,P Simran Singh,Priyansh Arya,JC Archer,0,0,,,,,,"","",0.4,,,,
ball,1,0.5,Punjab Kings,P Simran Singh,Priyansh Arya,JC Archer,0,0,,,,,,"","",0.5,,,,
ball,1,0.6,Punjab Kings,P Simran Singh,Priyansh Arya,JC Archer,0,0,,,,,,"","",0.6,,,,
ball,1,1.1,Punjab Kings,Priyansh Arya,P Simran Singh,N Burger,2,0,,,,,,"","",1.1,,,,
ball,1,1.2,Punjab Kings,Priyansh Arya,P Simran Singh,N Burger,4,0,,,,,,"","",1.2,,,,
ball,1,1.3,Punjab Kings,Priyansh Arya,P Simran Singh,N Burger,6,0,,,,,,"","",1.3,,,,
ball,1,1.4,Punjab Kings,Priyansh Arya,P Simran Singh,N Burger,4,0,,,,,,"","",1.4,,,,
ball,1,1.5,Punjab Kings,Priyansh Arya,P Simran Singh,N Burger,4,0,,,,,,"","",1.5,,,,
ball,1,1.6,Punjab Kings,Priyansh Arya,P Simran Singh,N Burger,1,0,,,,,,"","",1.6,,,,
ball,1,2.1,Punjab Kings,Priyansh Arya,P Simran Singh,JC Archer,4,0,,,,,,"","",2.1,,,,
ball,1,2.2,Punjab Kings,Priyansh Arya,P Simran Singh,JC Archer,0,0,,,,,,"","",2.2,,,,
ball,1,2.3,Punjab Kings,Priyansh Arya,P Simran Singh,JC Archer,0,0,,,,,,"","",2.3,,,,
ball,1,2.4,Punjab Kings,Priyansh Arya,P Simran Singh,JC Archer,4,0,,,,,,"","",2.4,,,,
ball,1,2.5,Punjab Kings,Priyansh Arya,P Simran Singh,JC Archer,0,0,,,,,,caught,Priyansh Arya,2.5,,N Burger,,
ball,1,2.6,Punjab Kings,C Connolly,P Simran Singh,JC Archer,0,0,,,,,,"","",2.6,,,,
ball,1,3.1,Punjab Kings,P Simran Singh,C Connolly,N Burger,0,0,,,,,,"","",3.1,,,,
ball,1,3.2,Punjab Kings,P Simran Singh,C Connolly,N Burger,2,0,,,,,,"","",3.2,,,,
ball,1,3.3,Punjab Kings,P Simran Singh,C Connolly,N Burger,0,0,,,,,,"","",3.3,,,,
ball,1,3.4,Punjab Kings,P Simran Singh,C Connolly,N Burger,4,0,,,,,,"","",3.4,,,,
ball,1,3.5,Punjab Kings,P Simran Singh,C Connolly,N Burger,4,0,,,,,,"","",3.5,,,,
ball,1,3.6,Punjab Kings,P Simran Singh,C Connolly,N Burger,1,0,,,,,,"","",3.6,,,,
