version,1.8.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Gujarat Titans
info,team_type,club
info,gender,male
info,season,2023
info,date,2023/03/31
info,event,Indian Premier League
info,match_id,1359475
info,match_type,T20
info,overs,20
info,match_number,1
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,Rashid Khan
info,umpire,Nitin Menon
info,umpire,HAS Khalid
info,reserve_umpire,A Bengeri
info,tv_umpire,VK Sharma
info,match_referee,J Srinath
info,target_overs,2,20
info,target_runs,2,179
info,winner,Gujarat Titans
info,winner_wickets,5
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,DP Conway
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,MM Ali
info,player,Chennai Super Kings,BA Stokes
info,player,Chennai Super Kings,AT Rayudu
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,MJ Santner
info,player,Chennai Super Kings,DL Chahar
info,player,Chennai Super Kings,RS Hangargekar
info,player,Gujarat Titans,KS Williamson
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,HH Pandya
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,Mohammed Shami
info,player,Gujarat Titans,J Little
info,player,Gujarat Titans,Yash Dayal
info,player,Gujarat Titans,AS Joseph
info,registry,people,A Bengeri,c109497d
info,registry,people,AS Joseph,b0946605
info,registry,people,AT Rayudu,70d205c9
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,BA Stokes,e087956b
info,registry,people,DL Chahar,23eeb873
info,registry,people,DP Conway,df5a6881
info,registry,people,HAS Khalid,291ded7c
info,registry,people,HH Pandya,dbe50b21
info,registry,people,J Little,9061a703
info,registry,people,J Srinath,bad31fac
info,registry,people,KS Williamson,d027ba9f
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RS Hangargekar,c3c92b42
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Dube,a4e37e47
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,V Shankar,0994d0ae
info,registry,people,VK Sharma,a7a49df4
info,registry,people,WP Saha,fe11caa6
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Shami,0,0,,,,,,"","",0.1,,,,
ball,1,0.2,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Shami,0,1,,,,1,,"","",0.2,,,,
ball,1,0.3,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Shami,0,0,,,,,,"","",0.3,,,,
ball,1,0.4,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Shami,1,0,,,,,,"","",0.4,,,,
ball,1,0.5,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Shami,0,0,,,,,,"","",0.5,,,,
ball,1,0.6,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Shami,0,0,,,,,,"","",0.6,,,,
ball,1,1.1,Chennai Super Kings,RD Gaikwad,DP Conway,HH Pandya,4,0,,,,,,"","",1.1,,,,
ball,1,1.2,Chennai Super Kings,RD Gaikwad,DP Conway,HH Pandya,0,0,,,,,,"","",1.2,,,,
ball,1,1.3,Chennai Super Kings,RD Gaikwad,DP Conway,HH Pandya,4,0,,,,,,"","",1.3,,,,
ball,1,1.4,Chennai Super Kings,RD Gaikwad,DP Conway,HH Pandya,1,0,,,,,,"","",1.4,,,,
ball,1,1.5,Chennai Super Kings,DP Conway,RD Gaikwad,HH Pandya,1,0,,,,,,"","",1.5,,,,
ball,1,1.6,Chennai Super Kings,RD Gaikwad,DP Conway,HH Pandya,1,0,,,,,,"","",1.6,,,,
ball,1,2.1,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Shami,1,0,,,,,,"","",2.1,,,,
ball,1,2.2,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Shami,0,0,,,,,,bowled,DP Conway,2.2,,,,
ball,1,2.3,Chennai Super Kings,MM Ali,RD Gaikwad,Mohammed Shami,0,0,,,,,,"","",2.3,,,,
ball,1,2.4,Chennai Super Kings,MM Ali,RD Gaikwad,Mohammed Shami,0,0,,,,,,"","",2.4,,,,
ball,1,2.5,Chennai Super Kings,MM Ali,RD Gaikwad,Mohammed Shami,0,0,,,,,,"","",2.5,,,,
ball,1,2.6,Chennai Super Kings,MM Ali,RD Gaikwad,Mohammed Shami,0,0,,,,,,"","",2.6,,,,
ball,1,3.1,Chennai Super Kings,RD Gaikwad,MM Ali,J Little,6,0,,,,,,"","",3.1,,,,
ball,1,3.2,Chennai Super Kings,RD Gaikwad,MM Ali,J Little,4,0,,,,,,"","",3.2,,,,
ball,1,3.3,Chennai Super Kings,RD Gaikwad,MM Ali,J Little,1,0,,,,,,"","",3.3,,,,
ball,1,3.4,Chennai Super Kings,MM Ali,RD Gaikwad,J Little,0,0,,,,,,"","",3.4,,,,
ball,1,3.5,Chennai Super Kings,MM Ali,RD Gaikwad,J Little,4,0,,,,,,"","",3.5,,,,
