version,1.8.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Sunrisers Hyderabad
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/04/25
info,event,Indian Premier League
info,match_id,1529279
info,match_type,T20
info,overs,20
info,match_number,36
info,venue,"Sawai Mansingh Stadium, Jaipur"
info,city,Jaipur
info,toss_winner,Sunrisers Hyderabad
info,toss_decision,field
info,player_of_match,Ishan Kishan
info,umpire,KM Gandhi
info,umpire,Nitin Menon
info,reserve_umpire,TM Srivastava
info,tv_umpire,MV Saidharshan Kumar
info,match_referee,Amit Sharma
info,target_overs,2,20
info,target_runs,2,229
info,winner,Sunrisers Hyderabad
info,winner_wickets,5
info,player,Rajasthan Royals,Ravi Bishnoi
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,D Ferreira
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,RA Jadeja
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,TU Deshpande
info,player,Rajasthan Royals,N Burger
info,player,Rajasthan Royals,Brijesh Sharma
info,player,Sunrisers Hyderabad,Sakib Hussain
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,Ishan Kishan
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,S Arora
info,player,Sunrisers Hyderabad,Aniket Verma
info,player,Sunrisers Hyderabad,PJ Cummins
info,player,Sunrisers Hyderabad,Shivang Kumar
info,player,Sunrisers Hyderabad,E Malinga
info,player,Sunrisers Hyderabad,PP Hinge
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Amit Sharma,7ea3e0cc
info,registry,people,Aniket Verma,a3b0600d
info,registry,people,Brijesh Sharma,133bbd61
info,registry,people,D Ferreira,f0af99a7
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,E Malinga,5750bcb4
info,registry,people,H Klaasen,235c2bb6
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JC Archer,5574750c
info,registry,people,KM Gandhi,a9421c64
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,N Burger,465aa633
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PJ Cummins,ded9240e
info,registry,people,PP Hinge,ece7b6b3
info,registry,people,R Parag,04a418e8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,S Arora,d7423da1
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,Sakib Hussain,280fff14
info,registry,people,Shivang Kumar,7b44eb3e
info,registry,people,TM Head,12b610c2
info,registry,people,TM Srivastava,a76d10ba
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,V Suryavanshi,470f446b
info,registry,people,YBK Jaiswal,6c19c6e5
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,PP Hinge,1,0,,,,,,"","",0.1,,,,
ball,1,0.2,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,PP Hinge,0,0,,,,,,"","",0.2,,,,
ball,1,0.3,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,PP Hinge,6,0,,,,,,"","",0.3,,,,
ball,1,0.4,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,PP Hinge,6,0,,,,,,"","",0.4,,,,
ball,1,0.5,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,PP Hinge,6,0,,,,,,"","",0.5,,,,
ball,1,0.6,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,PP Hinge,6,0,,,,,,"","",0.6,,,,
ball,1,1.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,PJ Cummins,4,0,,,,,,"","",1.1,,,,
ball,1,1.2,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,PJ Cummins,0,0,,,,,,"","",1.2,,,,
ball,1,1.3,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,PJ Cummins,0,0,,,,,,"","",1.3,,,,
ball,1,1.4,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,PJ Cummins,0,0,,,,,,"","",1.4,,,,
ball,1,1.5,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,PJ Cummins,1,0,,,,,,"","",1.5,,,,
ball,1,1.6,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,PJ Cummins,6,0,,,,,,"","",1.6,,,,
ball,1,2.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,E Malinga,4,0,,,,,,"","",2.1,,,,
ball,1,2.2,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,E Malinga,0,0,,,,,,caught,YBK Jaiswal,2.2,,H Klaasen,,
ball,1,2.3,Rajasthan Royals,Dhruv Jurel,V Suryavanshi,E Malinga,0,0,,,,,,"","",2.3,,,,
ball,1,2.4,Rajasthan Royals,Dhruv Jurel,V Suryavanshi,E Malinga,0,0,,,,,,"","",2.4,,,,
ball,1,2.5,Rajasthan Royals,Dhruv Jurel,V Suryavanshi,E Malinga,1,0,,,,,,"","",2.5,,,,
ball,1,2.6,Rajasthan Royals,V Suryavanshi,Dhruv Jurel,E Malinga,1,0,,,,,,"","",2.6,,,,
ball,1,3.1,Rajasthan Royals,V Suryavanshi,Dhruv Jurel,PJ Cummins,1,0,,,,,,"","",3.1,,,,
ball,1,3.2,Rajasthan Royals,Dhruv Jurel,V Suryavanshi,PJ Cummins,0,0,,,,,,"","",3.2,,,,
ball,1,3.3,Rajasthan Royals,Dhruv Jurel,V Suryavanshi,PJ Cummins,4,0,,,,,,"","",3.3,,,,
ball,1,3.4,Rajasthan Royals,Dhruv Jurel,V Suryavanshi,PJ Cummins,0,0,,,,,,"","",3.4,,,,
ball,1,3.5,Rajasthan Royals,Dhruv Jurel,V Suryavanshi,PJ Cummins,0,0,,,,,,"","",3.5,,,,
