version,1.8.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Kolkata Knight Riders
info,team_type,club
info,gender,male
info,season,2025
info,date,2025/04/21
info,event,Indian Premier League
info,match_id,1473476
info,match_type,T20
info,overs,20
info,match_number,39
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,Kolkata Knight Riders
info,toss_decision,field
info,player_of_match,Shubman Gill
info,umpire,Anish Sahasrabudhe
info,umpire,R Pandit
info,reserve_umpire,Amit Rana
info,tv_umpire,A Totre
info,match_referee,R Seth
info,target_overs,2,20
info,target_runs,2,199
info,winner,Gujarat Titans
info,winner_runs,39
info,player,Gujarat Titans,SE Rutherford
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,Washington Sundar
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,Mohammed Siraj
info,player,Gujarat Titans,M Prasidh Krishna
info,player,Gujarat Titans,I Sharma
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,Rahmanullah Gurbaz
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,AM Rahane
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,MM Ali
info,player,Kolkata Knight Riders,A Raghuvanshi
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,CV Varun
info,registry,people,A Raghuvanshi,d7017798
info,registry,people,A Totre,b1d7d7bc
info,registry,people,AD Russell,bbd41817
info,registry,people,AM Rahane,29e95537
info,registry,people,Amit Rana,f5db088b
info,registry,people,Anish Sahasrabudhe,2892df67
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,JC Buttler,99b75528
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MM Ali,bb351c23
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,R Pandit,8a604384
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Seth,540a44ba
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RK Singh,0a509d6b
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SP Narine,9d430b40
info,registry,people,Shubman Gill,b4b99816
info,registry,people,VG Arora,7c3b3b78
info,registry,people,VR Iyer,a24be938
info,registry,people,Washington Sundar,f19ccfad
ball,1,0.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,VG Arora,0,1,1,,,,,"","",0.1,,,,
ball,1,0.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,VG Arora,1,0,,,,,,"","",0.1,,,,
ball,1,0.3,Gujarat Titans,Shubman Gill,B Sai Sudharsan,VG Arora,0,0,,,,,,"","",0.2,,,,
ball,1,0.4,Gujarat Titans,Shubman Gill,B Sai Sudharsan,VG Arora,0,0,,,,,,"","",0.3,,,,
ball,1,0.5,Gujarat Titans,Shubman Gill,B Sai Sudharsan,VG Arora,0,0,,,,,,"","",0.4,,,,
ball,1,0.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,VG Arora,1,0,,,,,,"","",0.5,,,,
ball,1,0.7,Gujarat Titans,B Sai Sudharsan,Shubman Gill,VG Arora,1,0,,,,,,"","",0.6,,,,
ball,1,1.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,MM Ali,0,0,,,,,,"","",1.1,,,,
ball,1,1.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,MM Ali,1,0,,,,,,"","",1.2,,,,
ball,1,1.3,Gujarat Titans,Shubman Gill,B Sai Sudharsan,MM Ali,1,0,,,,,,"","",1.3,,,,
ball,1,1.4,Gujarat Titans,B Sai Sudharsan,Shubman Gill,MM Ali,1,0,,,,,,"","",1.4,,,,
ball,1,1.5,Gujarat Titans,Shubman Gill,B Sai Sudharsan,MM Ali,1,0,,,,,,"","",1.5,,,,
ball,1,1.6,Gujarat Titans,B Sai Sudharsan,Shubman Gill,MM Ali,4,0,,,,,,"","",1.6,,,,
ball,1,2.1,Gujarat Titans,Shubman Gill,B Sai Sudharsan,VG Arora,1,0,,,,,,"","",2.1,,,,
ball,1,2.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,VG Arora,4,0,,,,,,"","",2.2,,,,
ball,1,2.3,Gujarat Titans,B Sai Sudharsan,Shubman Gill,VG Arora,1,0,,,,,,"","",2.3,,,,
ball,1,2.4,Gujarat Titans,Shubman Gill,B Sai Sudharsan,VG Arora,1,0,,,,,,"","",2.4,,,,
ball,1,2.5,Gujarat Titans,B Sai Sudharsan,Shubman Gill,VG Arora,4,0,,,,,,"","",2.5,,,,
ball,1,2.6,Gujarat Titans,B Sai Sudharsan,Shubman Gill,VG Arora,1,0,,,,,,"","",2.6,,,,
ball,1,3.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,MM Ali,1,0,,,,,,"","",3.1,,,,
ball,1,3.2,Gujarat Titans,Shubman Gill,B Sai Sudharsan,MM Ali,0,0,,,,,,"","",3.2,,,,
ball,1,3.3,Gujarat Titans,Shubman Gill,B Sai Sudharsan,MM Ali,0,0,,,,,,"","",3.3,,,,
ball,1,3.4,Gujarat Titans,Shubman Gill,B Sai Sudharsan,MM Ali,1,0,,,,,,"","",3.4,,,,
ball,1,3.5,Gujarat Titans,B Sai Sudharsan,Shubman Gill,MM Ali,0,0,,,,,,"","",3.5,,,,
