version,1.8.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Rajasthan Royals
info,team_type,club
info,gender,male
info,season,2015
info,date,2015/05/01
info,event,Indian Premier League
info,match_id,829769
info,match_type,T20
info,overs,20
info,match_number,32
info,venue,Wankhede Stadium
info,city,Mumbai
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,AT Rayudu
info,umpire,HDPK Dharmasena
info,umpire,CK Nandan
info,reserve_umpire,Nitin Menon
info,tv_umpire,CB Gaffaney
info,match_referee,RS Mahanama
info,target_overs,2,20
info,target_runs,2,188
info,winner,Mumbai Indians
info,winner_runs,8
info,player,Mumbai Indians,LMP Simmons
info,player,Mumbai Indians,PA Patel
info,player,Mumbai Indians,UBT Chand
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,AT Rayudu
info,player,Mumbai Indians,KA Pollard
info,player,Mumbai Indians,Harbhajan Singh
info,player,Mumbai Indians,J Suchith
info,player,Mumbai Indians,R Vinay Kumar
info,player,Mumbai Indians,MJ McClenaghan
info,player,Mumbai Indians,SL Malinga
info,player,Rajasthan Royals,AM Rahane
info,player,Rajasthan Royals,SR Watson
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,SPD Smith
info,player,Rajasthan Royals,KK Nair
info,player,Rajasthan Royals,STR Binny
info,player,Rajasthan Royals,DJ Hooda
info,player,Rajasthan Royals,TG Southee
info,player,Rajasthan Royals,J Theron
info,player,Rajasthan Royals,DS Kulkarni
info,player,Rajasthan Royals,Ankit Sharma
info,registry,people,AM Rahane,29e95537
info,registry,people,AT Rayudu,70d205c9
info,registry,people,Ankit Sharma,24d94623
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CK Nandan,012de9c4
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,DS Kulkarni,d2a989fc
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,Harbhajan Singh,8b5b6769
info,registry,people,J Suchith,4125d931
info,registry,people,J Theron,dec8e038
info,registry,people,KA Pollard,a757b0d8
info,registry,people,KK Nair,944533a5
info,registry,people,LMP Simmons,89f64c19
info,registry,people,MJ McClenaghan,51a3c5ef
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PA Patel,b5da6c24
info,registry,people,R Vinay Kumar,41eb4a4f
info,registry,people,RG Sharma,740742ef
info,registry,people,RS Mahanama,57910393
info,registry,people,SL Malinga,a12e1d51
info,registry,people,SPD Smith,30a45b23
info,registry,people,SR Watson,4329fbb5
info,registry,people,STR Binny,bd17b45f
info,registry,people,SV Samson,a4cc73aa
info,registry,people,TG Southee,13c35c9e
info,registry,people,UBT Chand,0c94f480
ball,1,0.1,Mumbai Indians,LMP Simmons,PA Patel,TG Southee,0,0,,,,,,"","",0.1,,,,
ball,1,0.2,Mumbai Indians,LMP Simmons,PA Patel,TG Southee,0,0,,,,,,"","",0.2,,,,
ball,1,0.3,Mumbai Indians,LMP Simmons,PA Patel,TG Southee,0,0,,,,,,"","",0.3,,,,
ball,1,0.4,Mumbai Indians,LMP Simmons,PA Patel,TG Southee,4,0,,,,,,"","",0.4,,,,
ball,1,0.5,Mumbai Indians,LMP Simmons,PA Patel,TG Southee,1,0,,,,,,"","",0.5,,,,
ball,1,0.6,Mumbai Indians,PA Patel,LMP Simmons,TG Southee,0,0,,,,,,"","",0.6,,,,
ball,1,1.1,Mumbai Indians,LMP Simmons,PA Patel,DS Kulkarni,2,0,,,,,,"","",1.1,,,,
ball,1,1.2,Mumbai Indians,LMP Simmons,PA Patel,DS Kulkarni,0,2,2,,,,,"","",1.2,,,,
ball,1,1.3,Mumbai Indians,PA Patel,LMP Simmons,DS Kulkarni,0,0,,,,,,"","",1.2,,,,
ball,1,1.4,Mumbai Indians,PA Patel,LMP Simmons,DS Kulkarni,4,0,,,,,,"","",1.3,,,,
ball,1,1.5,Mumbai Indians,PA Patel,LMP Simmons,DS Kulkarni,4,0,,,,,,"","",1.4,,,,
ball,1,1.6,Mumbai Indians,PA Patel,LMP Simmons,DS Kulkarni,0,0,,,,,,"","",1.5,,,,
ball,1,1.7,Mumbai Indians,PA Patel,LMP Simmons,DS Kulkarni,1,0,,,,,,"","",1.6,,,,
ball,1,2.1,Mumbai Indians,PA Patel,LMP Simmons,TG Southee,1,0,,,,,,"","",2.1,,,,
ball,1,2.2,Mumbai Indians,LMP Simmons,PA Patel,TG Southee,2,0,,,,,,"","",2.2,,,,
ball,1,2.3,Mumbai Indians,LMP Simmons,PA Patel,TG Southee,0,0,,,,,,"","",2.3,,,,
ball,1,2.4,Mumbai Indians,LMP Simmons,PA Patel,TG Southee,1,0,,,,,,"","",2.4,,,,
ball,1,2.5,Mumbai Indians,PA Patel,LMP Simmons,TG Southee,0,0,,,,,,"","",2.5,,,,
ball,1,2.6,Mumbai Indians,PA Patel,LMP Simmons,TG Southee,4,0,,,,,,"","",2.6,,,,
ball,1,3.1,Mumbai Indians,LMP Simmons,PA Patel,J Theron,1,0,,,,,,"","",3.1,,,,
ball,1,3.2,Mumbai Indians,PA Patel,LMP Simmons,J Theron,4,0,,,,,,"","",3.2,,,,
ball,1,3.3,Mumbai Indians,PA Patel,LMP Simmons,J Theron,0,0,,,,,,"","",3.3,,,,
ball,1,3.4,Mumbai Indians,PA Patel,LMP Simmons,J Theron,4,0,,,,,,"","",3.4,,,,
ball,1,3.5,Mumbai Indians,PA Patel,LMP Simmons,J Theron,1,0,,,,,,"","",3.5,,,,
ball,1,3.6,Mumbai Indians,LMP Simmons,PA Patel,J Theron,0,1,1,,,,,"","",3.6,,,,
ball,1,3.7,Mumbai Indians,LMP Simmons,PA Patel,J Theron,1,0,,,,,,"","",3.6,,,,
ball,1,4.1,Mumbai Indians,LMP Simmons,PA Patel,DS Kulkarni,0,0,,,,,,"","",4.1,,,,
ball,1,4.2,Mumbai Indians,LMP Simmons,PA Patel,DS Kulkarni,4,0,,,,,,"","",4.2,,,,
ball,1,4.3,Mumbai Indians,LMP Simmons,PA Patel,DS Kulkarni,0,0,,,,,,"","",4.3,,,,
ball,1,4.4,Mumbai Indians,LMP Simmons,PA Patel,DS Kulkarni,1,0,,,,,,"","",4.4,,,,
ball,1,4.5,Mumbai Indians,PA Patel,LMP Simmons,DS Kulkarni,0,0,,,,,,caught and bowled,PA Patel,4.5,,,,
ball,1,4.6,Mumbai Indians,UBT Chand,LMP Simmons,DS Kulkarni,0,0,,,,,,"","",4.6,,,,
ball,1,5.1,Mumbai Indians,LMP Simmons,UBT Chand,SR Watson,1,0,,,,,,"","",5.1,,,,
ball,1,5.2,Mumbai Indians,UBT Chand,LMP Simmons,SR Watson,0,0,,,,,,"","",5.2,,,,
ball,1,5.3,Mumbai Indians,UBT Chand,LMP Simmons,SR Watson,1,0,,,,,,"","",5.3,,,,
