version,1.8.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Delhi Capitals
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/05/17
info,event,Indian Premier League
info,match_id,1529305
info,match_type,T20
info,overs,20
info,match_number,62
info,venue,"Arun Jaitley Stadium, Delhi"
info,city,Delhi
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,MA Starc
info,umpire,Amit Rana
info,umpire,K Kelkar
info,reserve_umpire,T Ematty
info,tv_umpire,J Madanagopal
info,match_referee,DS Manohar
info,target_overs,2,20
info,target_runs,2,194
info,winner,Delhi Capitals
info,winner_wickets,5
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,D Ferreira
info,player,Rajasthan Royals,Ravi Singh
info,player,Rajasthan Royals,SB Dubey
info,player,Rajasthan Royals,MD Shanaka
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,AF Milne
info,player,Rajasthan Royals,Brijesh Sharma
info,player,Rajasthan Royals,Yash Raj Punja
info,player,Delhi Capitals,Mukesh Kumar
info,player,Delhi Capitals,Abishek Porel
info,player,Delhi Capitals,KL Rahul
info,player,Delhi Capitals,SU Parakh
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,DA Miller
info,player,Delhi Capitals,Ashutosh Sharma
info,player,Delhi Capitals,M Tiwari
info,player,Delhi Capitals,MA Starc
info,player,Delhi Capitals,L Ngidi
info,player,Delhi Capitals,T Vijay
info,registry,people,AF Milne,350bb1b1
info,registry,people,AR Patel,2e171977
info,registry,people,Abishek Porel,ad3b6e95
info,registry,people,Amit Rana,f5db088b
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,Brijesh Sharma,133bbd61
info,registry,people,D Ferreira,f0af99a7
info,registry,people,DA Miller,d67d5f00
info,registry,people,DS Manohar,b35f3ac8
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JC Archer,5574750c
info,registry,people,K Kelkar,1d88908d
info,registry,people,KL Rahul,b17e2f24
info,registry,people,L Ngidi,f834dcfc
info,registry,people,M Tiwari,fb5f69e4
info,registry,people,MA Starc,3fb19989
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,R Parag,04a418e8
info,registry,people,Ravi Singh,548516a6
info,registry,people,SB Dubey,6b2ff18f
info,registry,people,SU Parakh,926c7443
info,registry,people,T Ematty,e995f8e9
info,registry,people,T Stubbs,85b3fab2
info,registry,people,T Vijay,51ec3919
info,registry,people,V Suryavanshi,470f446b
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,Yash Raj Punja,02dfebbe
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,MA Starc,0,0,,,,,,"","",0.1,,,,
ball,1,0.2,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,MA Starc,4,0,,,,,,"","",0.2,,,,
ball,1,0.3,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,MA Starc,4,0,,,,,,"","",0.3,,,,
ball,1,0.4,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,MA Starc,0,0,,,,,,"","",0.4,,,,
ball,1,0.5,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,MA Starc,4,0,,,,,,"","",0.5,,,,
ball,1,0.6,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,MA Starc,0,0,,,,,,"","",0.6,,,,
ball,1,1.1,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,L Ngidi,6,0,,,,,,"","",1.1,,,,
ball,1,1.2,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,L Ngidi,1,0,,,,,,"","",1.2,,,,
ball,1,1.3,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,L Ngidi,0,0,,,,,,"","",1.3,,,,
ball,1,1.4,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,L Ngidi,0,0,,,,,,"","",1.4,,,,
ball,1,1.5,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,L Ngidi,0,0,,,,,,caught,YBK Jaiswal,1.5,,MA Starc,,
ball,1,1.6,Rajasthan Royals,Dhruv Jurel,V Suryavanshi,L Ngidi,0,0,,,,,,"","",1.6,,,,
ball,1,2.1,Rajasthan Royals,V Suryavanshi,Dhruv Jurel,MA Starc,0,1,1,,,,,"","",2.1,,,,
ball,1,2.2,Rajasthan Royals,V Suryavanshi,Dhruv Jurel,MA Starc,4,0,,,,,,"","",2.1,,,,
ball,1,2.3,Rajasthan Royals,V Suryavanshi,Dhruv Jurel,MA Starc,0,0,,,,,,"","",2.2,,,,
ball,1,2.4,Rajasthan Royals,V Suryavanshi,Dhruv Jurel,MA Starc,6,0,,,,,,"","",2.3,,,,
ball,1,2.5,Rajasthan Royals,V Suryavanshi,Dhruv Jurel,MA Starc,1,0,,,,,,"","",2.4,,,,
ball,1,2.6,Rajasthan Royals,Dhruv Jurel,V Suryavanshi,MA Starc,4,0,,,,,,"","",2.5,,,,
ball,1,2.7,Rajasthan Royals,Dhruv Jurel,V Suryavanshi,MA Starc,0,0,,,,,,"","",2.6,,,,
ball,1,3.1,Rajasthan Royals,V Suryavanshi,Dhruv Jurel,L Ngidi,4,0,,,,,,"","",3.1,,,,
ball,1,3.2,Rajasthan Royals,V Suryavanshi,Dhruv Jurel,L Ngidi,0,0,,,,,,"","",3.2,,,,
ball,1,3.3,Rajasthan Royals,V Suryavanshi,Dhruv Jurel,L Ngidi,1,0,,,,,,"","",3.3,,,,
