version,1.8.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Chennai Super Kings
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/04/05
info,event,Indian Premier League
info,match_id,1527684
info,match_type,T20
info,overs,20
info,match_number,11
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Chennai Super Kings
info,toss_decision,field
info,player_of_match,TH David
info,umpire,A Totre
info,umpire,KN Ananthapadmanabhan
info,reserve_umpire,Abhijit Bhattacharya
info,tv_umpire,AT Holdstock
info,match_referee,Prakash Bhatt
info,target_overs,2,20
info,target_runs,2,251
info,winner,Royal Challengers Bengaluru
info,winner_runs,43
info,player,Royal Challengers Bengaluru,Suyash Sharma
info,player,Royal Challengers Bengaluru,PD Salt
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,D Padikkal
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,TH David
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,R Shepherd
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,Abhinandan Singh
info,player,Royal Challengers Bengaluru,JA Duffy
info,player,Chennai Super Kings,KK Ahmed
info,player,Chennai Super Kings,SV Samson
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,A Mhatre
info,player,Chennai Super Kings,SN Khan
info,player,Chennai Super Kings,Kartik Sharma
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,PR Veer
info,player,Chennai Super Kings,J Overton
info,player,Chennai Super Kings,A Kamboj
info,player,Chennai Super Kings,Noor Ahmad
info,player,Chennai Super Kings,MJ Henry
info,registry,people,A Kamboj,fcc21ace
info,registry,people,A Mhatre,b2b4f545
info,registry,people,A Totre,b1d7d7bc
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,Abhinandan Singh,82c10dac
info,registry,people,B Kumar,2e81a32d
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,J Overton,59559bc2
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JG Bethell,3c55c703
info,registry,people,JM Sharma,800d2d97
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KK Ahmed,a2f46292
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kartik Sharma,7b679de5
info,registry,people,MJ Henry,e84ac20c
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,PD Salt,3d284ca3
info,registry,people,PR Veer,e148e6bd
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,R Shepherd,c5aef772
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RM Patidar,c740ea83
info,registry,people,S Dube,a4e37e47
info,registry,people,SN Khan,f088b960
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,TH David,f1f99156
info,registry,people,V Kohli,ba607b88
ball,1,0.1,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,0,0,,,,,,"","",0.1,,,,
ball,1,0.2,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,0,0,,,,,,"","",0.2,,,,
ball,1,0.3,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,3,0,,,,,,"","",0.3,,,,
ball,1,0.4,Royal Challengers Bengaluru,V Kohli,PD Salt,KK Ahmed,0,0,,,,,,"","",0.4,,,,
ball,1,0.5,Royal Challengers Bengaluru,V Kohli,PD Salt,KK Ahmed,2,0,,,,,,"","",0.5,,,,
ball,1,0.6,Royal Challengers Bengaluru,V Kohli,PD Salt,KK Ahmed,0,0,,,,,,"","",0.6,,,,
ball,1,1.1,Royal Challengers Bengaluru,PD Salt,V Kohli,MJ Henry,1,0,,,,,,"","",1.1,,,,
ball,1,1.2,Royal Challengers Bengaluru,V Kohli,PD Salt,MJ Henry,1,0,,,,,,"","",1.2,,,,
ball,1,1.3,Royal Challengers Bengaluru,PD Salt,V Kohli,MJ Henry,1,0,,,,,,"","",1.3,,,,
ball,1,1.4,Royal Challengers Bengaluru,V Kohli,PD Salt,MJ Henry,2,0,,,,,,"","",1.4,,,,
ball,1,1.5,Royal Challengers Bengaluru,V Kohli,PD Salt,MJ Henry,1,0,,,,,,"","",1.5,,,,
ball,1,1.6,Royal Challengers Bengaluru,PD Salt,V Kohli,MJ Henry,0,0,,,,,,"","",1.6,,,,
ball,1,2.1,Royal Challengers Bengaluru,V Kohli,PD Salt,KK Ahmed,1,0,,,,,,"","",2.1,,,,
ball,1,2.2,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,1,0,,,,,,"","",2.2,,,,
ball,1,2.3,Royal Challengers Bengaluru,V Kohli,PD Salt,KK Ahmed,2,0,,,,,,"","",2.3,,,,
ball,1,2.4,Royal Challengers Bengaluru,V Kohli,PD Salt,KK Ahmed,0,1,,,,1,,"","",2.4,,,,
ball,1,2.5,Royal Challengers Bengaluru,PD Salt,V Kohli,KK Ahmed,1,0,,,,,,"","",2.5,,,,
ball,1,2.6,Royal Challengers Bengaluru,V Kohli,PD Salt,KK Ahmed,0,0,,,,,,"","",2.6,,,,
ball,1,3.1,Royal Challengers Bengaluru,PD Salt,V Kohli,MJ Henry,1,0,,,,,,"","",3.1,,,,
ball,1,3.2,Royal Challengers Bengaluru,V Kohli,PD Salt,MJ Henry,6,0,,,,,,"","",3.2,,,,
ball,1,3.3,Royal Challengers Bengaluru,V Kohli,PD Salt,MJ Henry,2,0,,,,,,"","",3.3,,,,
ball,1,3.4,Royal Challengers Bengaluru,V Kohli,PD Salt,MJ Henry,2,0,,,,,,"","",3.4,,,,
ball,1,3.5,Royal Challengers Bengaluru,V Kohli,PD Salt,MJ Henry,4,0,,,,,,"","",3.5,,,,
ball,1,3.6,Royal Challengers Bengaluru,V Kohli,PD Salt,MJ Henry,1,0,,,,,,"","",3.6,,,,
