version,1.8.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Kolkata Knight Riders
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/04/19
info,event,Indian Premier League
info,match_id,1529271
info,match_type,T20
info,overs,20
info,match_number,28
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,Rajasthan Royals
info,toss_decision,bat
info,player_of_match,CV Varun
info,umpire,HDPK Dharmasena
info,umpire,M Krishnadas
info,reserve_umpire,HAS Khalid
info,tv_umpire,VK Sharma
info,match_referee,V Narayan Kutty
info,target_overs,2,20
info,target_runs,2,156
info,winner,Kolkata Knight Riders
info,winner_wickets,4
info,player,Rajasthan Royals,Yash Raj Punja
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,D Ferreira
info,player,Rajasthan Royals,RA Jadeja
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,Ravi Bishnoi
info,player,Rajasthan Royals,Brijesh Sharma
info,player,Rajasthan Royals,N Burger
info,player,Kolkata Knight Riders,CV Varun
info,player,Kolkata Knight Riders,TL Seifert
info,player,Kolkata Knight Riders,AM Rahane
info,player,Kolkata Knight Riders,A Raghuvanshi
info,player,Kolkata Knight Riders,C Green
info,player,Kolkata Knight Riders,R Powell
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,AS Roy
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,Kartik Tyagi
info,registry,people,A Raghuvanshi,d7017798
info,registry,people,AM Rahane,29e95537
info,registry,people,AS Roy,e4cdf230
info,registry,people,Brijesh Sharma,133bbd61
info,registry,people,C Green,eaa76d3c
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,D Ferreira,f0af99a7
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HAS Khalid,291ded7c
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,JC Archer,5574750c
info,registry,people,Kartik Tyagi,5d2eea49
info,registry,people,M Krishnadas,e298c588
info,registry,people,N Burger,465aa633
info,registry,people,R Parag,04a418e8
info,registry,people,R Powell,650d5e49
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RK Singh,0a509d6b
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SP Narine,9d430b40
info,registry,people,TL Seifert,4663bd23
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,V Suryavanshi,470f446b
info,registry,people,VG Arora,7c3b3b78
info,registry,people,VK Sharma,a7a49df4
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,Yash Raj Punja,02dfebbe
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,VG Arora,1,0,,,,,,"","",0.1,,,,
ball,1,0.2,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,VG Arora,1,0,,,,,,"","",0.2,,,,
ball,1,0.3,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,VG Arora,0,0,,,,,,"","",0.3,,,,
ball,1,0.4,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,VG Arora,4,0,,,,,,"","",0.4,,,,
ball,1,0.5,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,VG Arora,0,0,,,,,,"","",0.5,,,,
ball,1,0.6,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,VG Arora,0,0,,,,,,"","",0.6,,,,
ball,1,1.1,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Kartik Tyagi,4,0,,,,,,"","",1.1,,,,
ball,1,1.2,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Kartik Tyagi,0,0,,,,,,"","",1.2,,,,
ball,1,1.3,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Kartik Tyagi,4,0,,,,,,"","",1.3,,,,
ball,1,1.4,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Kartik Tyagi,0,0,,,,,,"","",1.4,,,,
ball,1,1.5,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Kartik Tyagi,0,0,,,,,,"","",1.5,,,,
ball,1,1.6,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Kartik Tyagi,1,0,,,,,,"","",1.6,,,,
ball,1,2.1,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,C Green,1,0,,,,,,"","",2.1,,,,
ball,1,2.2,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,C Green,4,0,,,,,,"","",2.2,,,,
ball,1,2.3,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,C Green,0,0,,,,,,"","",2.3,,,,
ball,1,2.4,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,C Green,0,0,,,,,,"","",2.4,,,,
ball,1,2.5,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,C Green,0,0,,,,,,"","",2.5,,,,
ball,1,2.6,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,C Green,0,0,,,,,,"","",2.6,,,,
ball,1,3.1,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,VG Arora,4,0,,,,,,"","",3.1,,,,
ball,1,3.2,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,VG Arora,4,0,,,,,,"","",3.2,,,,
ball,1,3.3,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,VG Arora,1,0,,,,,,"","",3.3,,,,
ball,1,3.4,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,VG Arora,1,0,,,,,,"","",3.4,,,,
ball,1,3.5,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,VG Arora,4,0,,,,,,"","",3.5,,,,
