version,1.8.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Gujarat Titans
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/04/10
info,event,Indian Premier League
info,match_id,1426262
info,match_type,T20
info,overs,20
info,match_number,24
info,venue,"Sawai Mansingh Stadium, Jaipur"
info,city,Jaipur
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,Rashid Khan
info,umpire,HDPK Dharmasena
info,umpire,Vinod Seshan
info,reserve_umpire,VM Dhokre
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,Prakash Bhatt
info,target_overs,2,20
info,target_runs,2,197
info,winner,Gujarat Titans
info,winner_wickets,3
info,player,Rajasthan Royals,KA Maharaj
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,JC Buttler
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Ashwin
info,player,Rajasthan Royals,TA Boult
info,player,Rajasthan Royals,Avesh Khan
info,player,Rajasthan Royals,KR Sen
info,player,Rajasthan Royals,YS Chahal
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,MS Wade
info,player,Gujarat Titans,A Manohar
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,UT Yadav
info,player,Gujarat Titans,SH Johnson
info,registry,people,A Manohar,0890552f
info,registry,people,Avesh Khan,eef2536f
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,JC Buttler,99b75528
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,KR Sen,2e78f685
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MM Sharma,759ac88f
info,registry,people,MS Wade,afa7e784
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Parag,04a418e8
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TA Boult,a818c1be
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Shankar,0994d0ae
info,registry,people,VM Dhokre,67df71c9
info,registry,people,Vinod Seshan,a3357a27
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"","",0.1,,,,
ball,1,0.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"","",0.2,,,,
ball,1,0.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"","",0.3,,,,
ball,1,0.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"","",0.4,,,,
ball,1,0.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,4,0,,,,,,"","",0.5,,,,
ball,1,0.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,2,0,,,,,,"","",0.6,,,,
ball,1,1.1,Rajasthan Royals,JC Buttler,YBK Jaiswal,SH Johnson,2,0,,,,,,"","",1.1,,,,
ball,1,1.2,Rajasthan Royals,JC Buttler,YBK Jaiswal,SH Johnson,1,0,,,,,,"","",1.2,,,,
ball,1,1.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,SH Johnson,0,0,,,,,,"","",1.3,,,,
ball,1,1.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,SH Johnson,0,0,,,,,,"","",1.4,,,,
ball,1,1.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,SH Johnson,0,0,,,,,,"","",1.5,,,,
ball,1,1.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,SH Johnson,4,0,,,,,,"","",1.6,,,,
ball,1,2.1,Rajasthan Royals,JC Buttler,YBK Jaiswal,UT Yadav,1,0,,,,,,"","",2.1,,,,
ball,1,2.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"","",2.2,,,,
ball,1,2.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"","",2.3,,,,
ball,1,2.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,0,0,,,,,,"","",2.4,,,,
ball,1,2.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,4,0,,,,,,"","",2.5,,,,
ball,1,2.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,UT Yadav,4,0,,,,,,"","",2.6,,,,
ball,1,3.1,Rajasthan Royals,JC Buttler,YBK Jaiswal,SH Johnson,0,0,,,,,,"","",3.1,,,,
ball,1,3.2,Rajasthan Royals,JC Buttler,YBK Jaiswal,SH Johnson,1,0,,,,,,"","",3.2,,,,
ball,1,3.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,SH Johnson,1,0,,,,,,"","",3.3,,,,
ball,1,3.4,Rajasthan Royals,JC Buttler,YBK Jaiswal,SH Johnson,1,0,,,,,,"","",3.4,,,,
ball,1,3.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,SH Johnson,1,0,,,,,,"","",3.5,,,,
