version,1.8.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Lucknow Super Giants
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/04/26
info,event,Indian Premier League
info,match_id,1529281
info,match_type,T20
info,overs,20
info,match_number,38
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Lucknow Super Giants
info,toss_decision,field
info,player_of_match,RK Singh
info,umpire,A Bengeri
info,umpire,K Kelkar
info,reserve_umpire,Amit Rana
info,tv_umpire,R Pandit
info,match_referee,J Srinath
info,super_over,3
info,super_over,4
info,target_overs,2,20
info,target_runs,2,156
info,outcome,tie
info,eliminator,Kolkata Knight Riders
info,player,Kolkata Knight Riders,CV Varun
info,player,Kolkata Knight Riders,AM Rahane
info,player,Kolkata Knight Riders,TL Seifert
info,player,Kolkata Knight Riders,A Raghuvanshi
info,player,Kolkata Knight Riders,C Green
info,player,Kolkata Knight Riders,R Powell
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,AS Roy
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,Kartik Tyagi
info,player,Lucknow Super Giants,Mohsin Khan
info,player,Lucknow Super Giants,AK Markram
info,player,Lucknow Super Giants,MR Marsh
info,player,Lucknow Super Giants,RR Pant
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,MD Choudhary
info,player,Lucknow Super Giants,Himmat Singh
info,player,Lucknow Super Giants,GF Linde
info,player,Lucknow Super Giants,Mohammed Shami
info,player,Lucknow Super Giants,Prince Yadav
info,player,Lucknow Super Giants,DS Rathi
info,registry,people,A Badoni,872b03f7
info,registry,people,A Bengeri,c109497d
info,registry,people,A Raghuvanshi,d7017798
info,registry,people,AK Markram,6a26221c
info,registry,people,AM Rahane,29e95537
info,registry,people,AS Roy,e4cdf230
info,registry,people,Amit Rana,f5db088b
info,registry,people,C Green,eaa76d3c
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,DS Rathi,13fc5c6d
info,registry,people,GF Linde,e5437608
info,registry,people,Himmat Singh,ebcfef83
info,registry,people,J Srinath,bad31fac
info,registry,people,K Kelkar,1d88908d
info,registry,people,Kartik Tyagi,5d2eea49
info,registry,people,MD Choudhary,1c84109e
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Mohsin Khan,c33d8116
info,registry,people,N Pooran,3241e3fd
info,registry,people,Prince Yadav,80b2fb19
info,registry,people,R Pandit,8a604384
info,registry,people,R Powell,650d5e49
info,registry,people,RK Singh,0a509d6b
info,registry,people,RR Pant,919a3be2
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,SP Narine,9d430b40
info,registry,people,TL Seifert,4663bd23
info,registry,people,VG Arora,7c3b3b78
ball,1,0.1,Kolkata Knight Riders,AM Rahane,TL Seifert,Mohammed Shami,0,0,,,,,,"","",0.1,,,,
ball,1,0.2,Kolkata Knight Riders,AM Rahane,TL Seifert,Mohammed Shami,0,0,,,,,,"","",0.2,,,,
ball,1,0.3,Kolkata Knight Riders,AM Rahane,TL Seifert,Mohammed Shami,0,0,,,,,,"","",0.3,,,,
ball,1,0.4,Kolkata Knight Riders,AM Rahane,TL Seifert,Mohammed Shami,0,1,1,,,,,"","",0.4,,,,
ball,1,0.5,Kolkata Knight Riders,AM Rahane,TL Seifert,Mohammed Shami,0,0,,,,,,"","",0.4,,,,
ball,1,0.6,Kolkata Knight Riders,AM Rahane,TL Seifert,Mohammed Shami,0,0,,,,,,"","",0.5,,,,
ball,1,0.7,Kolkata Knight Riders,AM Rahane,TL Seifert,Mohammed Shami,1,0,,,,,,"","",0.6,,,,
ball,1,1.1,Kolkata Knight Riders,AM Rahane,TL Seifert,Mohsin Khan,0,0,,,,,,"","",1.1,,,,
ball,1,1.2,Kolkata Knight Riders,AM Rahane,TL Seifert,Mohsin Khan,0,0,,,,,,"","",1.2,,,,
ball,1,1.3,Kolkata Knight Riders,AM Rahane,TL Seifert,Mohsin Khan,0,1,,,,1,,"","",1.3,,,,
ball,1,1.4,Kolkata Knight Riders,TL Seifert,AM Rahane,Mohsin Khan,0,0,,,,,,"","",1.4,,,,
ball,1,1.5,Kolkata Knight Riders,TL Seifert,AM Rahane,Mohsin Khan,0,0,,,,,,"","",1.5,,,,
ball,1,1.6,Kolkata Knight Riders,TL Seifert,AM Rahane,Mohsin Khan,0,0,,,,,,caught,TL Seifert,1.6,,MD Choudhary,,
ball,1,2.1,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,Mohammed Shami,1,0,,,,,,"","",2.1,,,,
ball,1,2.2,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,Mohammed Shami,1,0,,,,,,"","",2.2,,,,
ball,1,2.3,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,Mohammed Shami,6,0,,,,,,"","",2.3,,,,
ball,1,2.4,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,Mohammed Shami,0,0,,,,,,"","",2.4,,,,
ball,1,2.5,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,Mohammed Shami,1,0,,,,,,"","",2.5,,,,
ball,1,2.6,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,Mohammed Shami,1,0,,,,,,"","",2.6,,,,
ball,1,3.1,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,Mohsin Khan,1,0,,,,,,"","",3.1,,,,
ball,1,3.2,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,Mohsin Khan,1,0,,,,,,"","",3.2,,,,
ball,1,3.3,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,Mohsin Khan,1,0,,,,,,"","",3.3,,,,
ball,1,3.4,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,Mohsin Khan,0,0,,,,,,caught,AM Rahane,3.4,,AK Markram,,
ball,1,3.5,Kolkata Knight Riders,C Green,A Raghuvanshi,Mohsin Khan,1,0,,,,,,"","",3.5,,,,
ball,1,3.6,Kolkata Knight Riders,A Raghuvanshi,C Green,Mohsin Khan,4,0,,,,,,"","",3.6,,,,
ball,1,4.1,Kolkata Knight Riders,C Green,A Raghuvanshi,Prince Yadav,0,1,1,,,,,"","",4.1,,,,
ball,1,4.2,Kolkata Knight Riders,C Green,A Raghuvanshi,Prince Yadav,2,0,,,,,,"","",4.1,,,,
ball,1,4.3,Kolkata Knight Riders,C Green,A Raghuvanshi,Prince Yadav,1,0,,,,,,"","",4.2,,,,
