version,1.8.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Lucknow Super Giants
info,team_type,club
info,gender,male
info,season,2024
info,date,2024/03/24
info,event,Indian Premier League
info,match_id,1422122
info,match_type,T20
info,overs,20
info,match_number,4
info,venue,"Sawai Mansingh Stadium, Jaipur"
info,city,Jaipur
info,toss_winner,Rajasthan Royals
info,toss_decision,bat
info,player_of_match,SV Samson
info,umpire,A Totre
info,umpire,HDPK Dharmasena
info,reserve_umpire,VM Dhokre
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,Prakash Bhatt
info,target_overs,2,20
info,target_runs,2,194
info,winner,Rajasthan Royals
info,winner_runs,20
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,JC Buttler
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Ashwin
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Rajasthan Royals,YS Chahal
info,player,Rajasthan Royals,Avesh Khan
info,player,Rajasthan Royals,TA Boult
info,player,Rajasthan Royals,N Burger
info,player,Lucknow Super Giants,Q de Kock
info,player,Lucknow Super Giants,KL Rahul
info,player,Lucknow Super Giants,D Padikkal
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,DJ Hooda
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Mohsin Khan
info,player,Lucknow Super Giants,Naveen-ul-Haq
info,player,Lucknow Super Giants,Yash Thakur
info,registry,people,A Badoni,872b03f7
info,registry,people,A Totre,b1d7d7bc
info,registry,people,Avesh Khan,eef2536f
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,JC Buttler,99b75528
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mohsin Khan,c33d8116
info,registry,people,N Burger,465aa633
info,registry,people,N Pooran,3241e3fd
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,Q de Kock,372455c4
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Parag,04a418e8
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,TA Boult,a818c1be
info,registry,people,VM Dhokre,67df71c9
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
info,registry,people,Yash Thakur,4b31f3a3
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohsin Khan,0,0,,,,,,"","",0.1,,,,
ball,1,0.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohsin Khan,1,0,,,,,,"","",0.2,,,,
ball,1,0.3,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mohsin Khan,0,0,,,,,,"","",0.3,,,,
ball,1,0.4,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mohsin Khan,0,1,1,,,,,"","",0.4,,,,
ball,1,0.5,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mohsin Khan,0,0,,,,,,"","",0.4,,,,
ball,1,0.6,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mohsin Khan,1,0,,,,,,"","",0.5,,,,
ball,1,0.7,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohsin Khan,0,0,,,,,,"","",0.6,,,,
ball,1,1.1,Rajasthan Royals,JC Buttler,YBK Jaiswal,Naveen-ul-Haq,2,0,,,,,,"","",1.1,,,,
ball,1,1.2,Rajasthan Royals,JC Buttler,YBK Jaiswal,Naveen-ul-Haq,4,0,,,,,,"","",1.2,,,,
ball,1,1.3,Rajasthan Royals,JC Buttler,YBK Jaiswal,Naveen-ul-Haq,0,0,,,,,,"","",1.3,,,,
ball,1,1.4,Rajasthan Royals,JC Buttler,YBK Jaiswal,Naveen-ul-Haq,0,0,,,,,,"","",1.4,,,,
ball,1,1.5,Rajasthan Royals,JC Buttler,YBK Jaiswal,Naveen-ul-Haq,4,0,,,,,,"","",1.5,,,,
ball,1,1.6,Rajasthan Royals,JC Buttler,YBK Jaiswal,Naveen-ul-Haq,0,0,,,,,,caught,JC Buttler,1.6,,KL Rahul,,
ball,1,2.1,Rajasthan Royals,YBK Jaiswal,SV Samson,Mohsin Khan,1,0,,,,,,"","",2.1,,,,
ball,1,2.2,Rajasthan Royals,SV Samson,YBK Jaiswal,Mohsin Khan,1,0,,,,,,"","",2.2,,,,
ball,1,2.3,Rajasthan Royals,YBK Jaiswal,SV Samson,Mohsin Khan,4,0,,,,,,"","",2.3,,,,
ball,1,2.4,Rajasthan Royals,YBK Jaiswal,SV Samson,Mohsin Khan,4,0,,,,,,"","",2.4,,,,
ball,1,2.5,Rajasthan Royals,YBK Jaiswal,SV Samson,Mohsin Khan,1,0,,,,,,"","",2.5,,,,
ball,1,2.6,Rajasthan Royals,SV Samson,YBK Jaiswal,Mohsin Khan,0,0,,,,,,"","",2.6,,,,
ball,1,3.1,Rajasthan Royals,YBK Jaiswal,SV Samson,Naveen-ul-Haq,2,0,,,,,,"","",3.1,,,,
ball,1,3.2,Rajasthan Royals,YBK Jaiswal,SV Samson,Naveen-ul-Haq,1,0,,,,,,"","",3.2,,,,
ball,1,3.3,Rajasthan Royals,SV Samson,YBK Jaiswal,Naveen-ul-Haq,0,0,,,,,,"","",3.3,,,,
