version,1.8.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Lucknow Super Giants
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/04/22
info,event,Indian Premier League
info,match_id,1529275
info,match_type,T20
info,overs,20
info,match_number,32
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Lucknow Super Giants
info,toss_decision,field
info,player_of_match,RA Jadeja
info,umpire,AK Argal
info,umpire,VK Sharma
info,reserve_umpire,HAS Khalid
info,tv_umpire,K Swaroopanand
info,match_referee,V Narayan Kutty
info,target_overs,2,20
info,target_runs,2,160
info,winner,Rajasthan Royals
info,winner_runs,40
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,RA Jadeja
info,player,Rajasthan Royals,D Ferreira
info,player,Rajasthan Royals,SB Dubey
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,N Burger
info,player,Rajasthan Royals,Brijesh Sharma
info,player,Rajasthan Royals,Ravi Bishnoi
info,player,Lucknow Super Giants,Prince Yadav
info,player,Lucknow Super Giants,MR Marsh
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,RR Pant
info,player,Lucknow Super Giants,AK Markram
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,Himmat Singh
info,player,Lucknow Super Giants,MD Choudhary
info,player,Lucknow Super Giants,Mohammed Shami
info,player,Lucknow Super Giants,MP Yadav
info,player,Lucknow Super Giants,DS Rathi
info,player,Lucknow Super Giants,Mohsin Khan
info,registry,people,A Badoni,872b03f7
info,registry,people,AK Argal,0ee78cf3
info,registry,people,AK Markram,6a26221c
info,registry,people,Brijesh Sharma,133bbd61
info,registry,people,D Ferreira,f0af99a7
info,registry,people,DS Rathi,13fc5c6d
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HAS Khalid,291ded7c
info,registry,people,Himmat Singh,ebcfef83
info,registry,people,JC Archer,5574750c
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,MD Choudhary,1c84109e
info,registry,people,MP Yadav,b1ad996b
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Mohsin Khan,c33d8116
info,registry,people,N Burger,465aa633
info,registry,people,N Pooran,3241e3fd
info,registry,people,Prince Yadav,80b2fb19
info,registry,people,R Parag,04a418e8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RR Pant,919a3be2
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,Ravi Singh,548516a6
info,registry,people,SB Dubey,6b2ff18f
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,V Suryavanshi,470f446b
info,registry,people,VK Sharma,a7a49df4
info,registry,people,YBK Jaiswal,6c19c6e5
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,0,1,1,,,,,"","",0.1,,,,
ball,1,0.2,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,0,0,,,,,,"","",0.1,,,,
ball,1,0.3,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,0,0,,,,,,"","",0.2,,,,
ball,1,0.4,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,0,1,1,,,,,"","",0.3,,,,
ball,1,0.5,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,0,0,,,,,,"","",0.3,,,,
ball,1,0.6,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,4,0,,,,,,"","",0.4,,,,
ball,1,0.7,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,0,0,,,,,,"","",0.5,,,,
ball,1,0.8,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,1,0,,,,,,"","",0.6,,,,
ball,1,1.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Prince Yadav,5,0,,,,,,"","",1.1,,,,
ball,1,1.2,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Prince Yadav,4,0,,,,,,"","",1.2,,,,
ball,1,1.3,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Prince Yadav,4,0,,,,,,"","",1.3,,,,
ball,1,1.4,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Prince Yadav,0,0,,,,,,"","",1.4,,,,
ball,1,1.5,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Prince Yadav,0,0,,,,,,"","",1.5,,,,
ball,1,1.6,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,Prince Yadav,0,0,,,,,,"","",1.6,,,,
ball,1,2.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,0,0,,,,,,"","",2.1,,,,
ball,1,2.2,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,4,0,,,,,,"","",2.2,,,,
ball,1,2.3,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,4,0,,,,,,"","",2.3,,,,
ball,1,2.4,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,4,0,,,,,,"","",2.4,,,,
ball,1,2.5,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,Mohammed Shami,0,0,,,,,,caught,YBK Jaiswal,2.5,,RR Pant,,
ball,1,2.6,Rajasthan Royals,Dhruv Jurel,V Suryavanshi,Mohammed Shami,0,0,,,,,,caught,Dhruv Jurel,2.6,,RR Pant,,
ball,1,3.1,Rajasthan Royals,V Suryavanshi,R Parag,Mohsin Khan,0,0,,,,,,"","",3.1,,,,
ball,1,3.2,Rajasthan Royals,V Suryavanshi,R Parag,Mohsin Khan,0,0,,,,,,"","",3.2,,,,
ball,1,3.3,Rajasthan Royals,V Suryavanshi,R Parag,Mohsin Khan,0,0,,,,,,"","",3.3,,,,
ball,1,3.4,Rajasthan Royals,V Suryavanshi,R Parag,Mohsin Khan,0,0,,,,,,"","",3.4,,,,
ball,1,3.5,Rajasthan Royals,V Suryavanshi,R Parag,Mohsin Khan,0,0,,,,,,"","",3.5,,,,
ball,1,3.6,Rajasthan Royals,V Suryavanshi,R Parag,Mohsin Khan,0,0,,,,,,caught,V Suryavanshi,3.6,,DS Rathi,,
ball,1,4.1,Rajasthan Royals,R Parag,SO Hetmyer,Mohammed Shami,0,1,1,,,,,"","",4.1,,,,
ball,1,4.2,Rajasthan Royals,R Parag,SO Hetmyer,Mohammed Shami,4,0,,,,,,"","",4.1,,,,
ball,1,4.3,Rajasthan Royals,R Parag,SO Hetmyer,Mohammed Shami,0,0,,,,,,"","",4.2,,,,
ball,1,4.4,Rajasthan Royals,R Parag,SO Hetmyer,Mohammed Shami,0,0,,,,,,"","",4.3,,,,
ball,1,4.5,Rajasthan Royals,R Parag,SO Hetmyer,Mohammed Shami,0,0,,,,,,"","",4.4,,,,
ball,1,4.6,Rajasthan Royals,R Parag,SO Hetmyer,Mohammed Shami,0,0,,,,,,"","",4.5,,,,
ball,1,4.7,Rajasthan Royals,R Parag,SO Hetmyer,Mohammed Shami,0,0,,,,,,"","",4.6,,,,
ball,1,5.1,Rajasthan Royals,SO Hetmyer,R Parag,Mohsin Khan,0,0,,,,,,"","",5.1,,,,
ball,1,5.2,Rajasthan Royals,SO Hetmyer,R Parag,Mohsin Khan,1,0,,,,,,"","",5.2,,,,
ball,1,5.3,Rajasthan Royals,R Parag,SO Hetmyer,Mohsin Khan,4,0,,,,,,"","",5.3,,,,
ball,1,5.4,Rajasthan Royals,R Parag,SO Hetmyer,Mohsin Khan,0,0,,,,,,"","",5.4,,,,
ball,1,5.5,Rajasthan Royals,R Parag,SO Hetmyer,Mohsin Khan,1,0,,,,,,"","",5.5,,,,
ball,1,5.6,Rajasthan Royals,SO Hetmyer,R Parag,Mohsin Khan,1,0,,,,,,"","",5.6,,,,
ball,1,6.1,Rajasthan Royals,SO Hetmyer,R Parag,MP Yadav,2,0,,,,,,"","",6.1,,,,
ball,1,6.2,Rajasthan Royals,SO Hetmyer,R Parag,MP Yadav,0,1,1,,,,,"","",6.2,,,,
ball,1,6.3,Rajasthan Royals,SO Hetmyer,R Parag,MP Yadav,0,0,,,,,,"","",6.2,,,,
ball,1,6.4,Rajasthan Royals,SO Hetmyer,R Parag,MP Yadav,1,0,,,,,,"","",6.3,,,,
ball,1,6.5,Rajasthan Royals,R Parag,SO Hetmyer,MP Yadav,0,0,,,,,,"","",6.4,,,,
ball,1,6.6,Rajasthan Royals,R Parag,SO Hetmyer,MP Yadav,0,0,,,,,,"","",6.5,,,,
