version,1.8.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Royal Challengers Bengaluru
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/05/13
info,event,Indian Premier League
info,match_id,1529300
info,match_type,T20
info,overs,20
info,match_number,57
info,venue,"Shaheed Veer Narayan Singh International Stadium, Raipur"
info,city,Raipur
info,toss_winner,Royal Challengers Bengaluru
info,toss_decision,field
info,player_of_match,V Kohli
info,umpire,Nitin Menon
info,umpire,R Pandit
info,reserve_umpire,KM Gandhi
info,tv_umpire,TM Srivastava
info,match_referee,A Kripal Singh
info,target_overs,2,20
info,target_runs,2,193
info,winner,Royal Challengers Bengaluru
info,winner_wickets,6
info,player,Kolkata Knight Riders,SR Dubey
info,player,Kolkata Knight Riders,AM Rahane
info,player,Kolkata Knight Riders,FH Allen
info,player,Kolkata Knight Riders,A Raghuvanshi
info,player,Kolkata Knight Riders,C Green
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,R Powell
info,player,Kolkata Knight Riders,MK Pandey
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,AS Roy
info,player,Kolkata Knight Riders,Kartik Tyagi
info,player,Kolkata Knight Riders,VG Arora
info,player,Royal Challengers Bengaluru,JA Duffy
info,player,Royal Challengers Bengaluru,JG Bethell
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,D Padikkal
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,TH David
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,VR Iyer
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,Rasikh Salam
info,player,Royal Challengers Bengaluru,JR Hazlewood
info,registry,people,A Kripal Singh,8f559207
info,registry,people,A Raghuvanshi,d7017798
info,registry,people,AM Rahane,29e95537
info,registry,people,AS Roy,e4cdf230
info,registry,people,B Kumar,2e81a32d
info,registry,people,C Green,eaa76d3c
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,FH Allen,bf74b130
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JG Bethell,3c55c703
info,registry,people,JM Sharma,800d2d97
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KM Gandhi,a9421c64
info,registry,people,Kartik Tyagi,5d2eea49
info,registry,people,MK Pandey,93b4fc78
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,R Pandit,8a604384
info,registry,people,R Powell,650d5e49
info,registry,people,RK Singh,0a509d6b
info,registry,people,RM Patidar,c740ea83
info,registry,people,Rasikh Salam,b8527c3d
info,registry,people,SP Narine,9d430b40
info,registry,people,SR Dubey,11061889
info,registry,people,TH David,f1f99156
info,registry,people,TM Srivastava,a76d10ba
info,registry,people,V Kohli,ba607b88
info,registry,people,VG Arora,7c3b3b78
info,registry,people,VR Iyer,a24be938
ball,1,0.1,Kolkata Knight Riders,AM Rahane,FH Allen,B Kumar,0,0,,,,,,"","",0.1,,,,
ball,1,0.2,Kolkata Knight Riders,AM Rahane,FH Allen,B Kumar,0,0,,,,,,"","",0.2,,,,
ball,1,0.3,Kolkata Knight Riders,AM Rahane,FH Allen,B Kumar,0,0,,,,,,"","",0.3,,,,
ball,1,0.4,Kolkata Knight Riders,AM Rahane,FH Allen,B Kumar,0,0,,,,,,"","",0.4,,,,
ball,1,0.5,Kolkata Knight Riders,AM Rahane,FH Allen,B Kumar,0,0,,,,,,"","",0.5,,,,
ball,1,0.6,Kolkata Knight Riders,AM Rahane,FH Allen,B Kumar,4,0,,,,,,"","",0.6,,,,
ball,1,1.1,Kolkata Knight Riders,FH Allen,AM Rahane,JA Duffy,0,0,,,,,,"","",1.1,,,,
ball,1,1.2,Kolkata Knight Riders,FH Allen,AM Rahane,JA Duffy,0,0,,,,,,"","",1.2,,,,
ball,1,1.3,Kolkata Knight Riders,FH Allen,AM Rahane,JA Duffy,4,0,,,,,,"","",1.3,,,,
ball,1,1.4,Kolkata Knight Riders,FH Allen,AM Rahane,JA Duffy,6,0,,,,,,"","",1.4,,,,
ball,1,1.5,Kolkata Knight Riders,FH Allen,AM Rahane,JA Duffy,4,0,,,,,,"","",1.5,,,,
ball,1,1.6,Kolkata Knight Riders,FH Allen,AM Rahane,JA Duffy,0,0,,,,,,"","",1.6,,,,
ball,1,2.1,Kolkata Knight Riders,AM Rahane,FH Allen,B Kumar,1,0,,,,,,"","",2.1,,,,
ball,1,2.2,Kolkata Knight Riders,FH Allen,AM Rahane,B Kumar,4,0,,,,,,"","",2.2,,,,
ball,1,2.3,Kolkata Knight Riders,FH Allen,AM Rahane,B Kumar,0,0,,,,,,caught,FH Allen,2.3,,JM Sharma,,
ball,1,2.4,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,B Kumar,0,0,,,,,,"","",2.4,,,,
ball,1,2.5,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,B Kumar,0,0,,,,,,"","",2.5,,,,
ball,1,2.6,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,B Kumar,3,0,,,,,,"","",2.6,,,,
ball,1,3.1,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,JA Duffy,6,0,,,,,,"","",3.1,,,,
ball,1,3.2,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,JA Duffy,0,0,,,,,,"","",3.2,,,,
ball,1,3.3,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,JA Duffy,1,0,,,,,,"","",3.3,,,,
ball,1,3.4,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,JA Duffy,0,0,,,,,,"","",3.4,,,,
ball,1,3.5,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,JA Duffy,4,0,,,,,,"","",3.5,,,,
ball,1,3.6,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,JA Duffy,6,0,,,,,,"","",3.6,,,,
ball,1,4.1,Kolkata Knight Riders,A Raghuvanshi,AM Rahane,JR Hazlewood,1,0,,,,,,"","",4.1,,,,
ball,1,4.2,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,JR Hazlewood,0,0,,,,,,"","",4.2,,,,
ball,1,4.3,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,JR Hazlewood,4,0,,,,,,"","",4.3,,,,
ball,1,4.4,Kolkata Knight Riders,AM Rahane,A Raghuvanshi,JR Hazlewood,0,0,,,,,,caught and bowled,AM Rahane,4.4,,,,
ball,1,4.5,Kolkata Knight Riders,C Green,A Raghuvanshi,JR Hazlewood,0,0,,,,,,"","",4.5,,,,
ball,1,4.6,Kolkata Knight Riders,C Green,A Raghuvanshi,JR Hazlewood,1,0,,,,,,"","",4.6,,,,
ball,1,5.1,Kolkata Knight Riders,C Green,A Raghuvanshi,Rasikh Salam,0,0,,,,,,"","",5.1,,,,
ball,1,5.2,Kolkata Knight Riders,C Green,A Raghuvanshi,Rasikh Salam,0,0,,,,,,"","",5.2,,,,
