version,1.8.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Sunrisers Hyderabad
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/05/12
info,event,Indian Premier League
info,match_id,1529299
info,match_type,T20
info,overs,20
info,match_number,56
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Sunrisers Hyderabad
info,toss_decision,field
info,player_of_match,K Rabada
info,umpire,HAS Khalid
info,umpire,VK Sharma
info,reserve_umpire,AK Argal
info,tv_umpire,SJ Nogajski
info,match_referee,R Seth
info,target_overs,2,20
info,target_runs,2,169
info,winner,Gujarat Titans
info,winner_runs,82
info,player,Gujarat Titans,M Prasidh Krishna
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,N Sindhu
info,player,Gujarat Titans,Washington Sundar
info,player,Gujarat Titans,JO Holder
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,Arshad Khan
info,player,Gujarat Titans,K Rabada
info,player,Gujarat Titans,Mohammed Siraj
info,player,Sunrisers Hyderabad,Sakib Hussain
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,Ishan Kishan
info,player,Sunrisers Hyderabad,R Smaran
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,S Arora
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,PJ Cummins
info,player,Sunrisers Hyderabad,Shivang Kumar
info,player,Sunrisers Hyderabad,PP Hinge
info,player,Sunrisers Hyderabad,E Malinga
info,registry,people,AK Argal,0ee78cf3
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Arshad Khan,12314277
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,E Malinga,5750bcb4
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HAS Khalid,291ded7c
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JC Buttler,99b75528
info,registry,people,JO Holder,0f721006
info,registry,people,K Rabada,e62dd25d
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,N Sindhu,3cea23da
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,PJ Cummins,ded9240e
info,registry,people,PP Hinge,ece7b6b3
info,registry,people,R Seth,540a44ba
info,registry,people,R Smaran,c1e53c3f
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Arora,d7423da1
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,Sakib Hussain,280fff14
info,registry,people,Shivang Kumar,7b44eb3e
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TM Head,12b610c2
info,registry,people,VK Sharma,a7a49df4
info,registry,people,Washington Sundar,f19ccfad
ball,1,0.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,PJ Cummins,0,0,,,,,,"","",0.1,,,,
ball,1,0.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,PJ Cummins,2,0,,,,,,"","",0.2,,,,
ball,1,0.3,Gujarat Titans,B Sai Sudharsan,Shubman Gill,PJ Cummins,2,0,,,,,,"","",0.3,,,,
ball,1,0.4,Gujarat Titans,B Sai Sudharsan,Shubman Gill,PJ Cummins,1,0,,,,,,"","",0.4,,,,
ball,1,0.5,Gujarat Titans,Shubman Gill,B Sai Sudharsan,PJ Cummins,0,0,,,,,,"","",0.5,,,,
ball,1,0.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,PJ Cummins,0,0,,,,,,"","",0.6,,,,
ball,1,1.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Nithish Kumar Reddy,4,0,,,,,,"","",1.1,,,,
ball,1,1.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Nithish Kumar Reddy,0,0,,,,,,"","",1.2,,,,
ball,1,1.3,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Nithish Kumar Reddy,1,0,,,,,,"","",1.3,,,,
ball,1,1.4,Gujarat Titans,Shubman Gill,B Sai Sudharsan,Nithish Kumar Reddy,0,0,,,,,,"","",1.4,,,,
ball,1,1.5,Gujarat Titans,Shubman Gill,B Sai Sudharsan,Nithish Kumar Reddy,4,0,,,,,,"","",1.5,,,,
ball,1,1.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,Nithish Kumar Reddy,1,0,,,,,,"","",1.6,,,,
ball,1,2.1,Gujarat Titans,Shubman Gill,B Sai Sudharsan,PP Hinge,0,0,,,,,,"","",2.1,,,,
ball,1,2.2,Gujarat Titans,Shubman Gill,B Sai Sudharsan,PP Hinge,0,0,,,,,,caught,Shubman Gill,2.2,,H Klaasen,,
ball,1,2.3,Gujarat Titans,JC Buttler,B Sai Sudharsan,PP Hinge,0,0,,,,,,"","",2.3,,,,
ball,1,2.4,Gujarat Titans,JC Buttler,B Sai Sudharsan,PP Hinge,1,0,,,,,,"","",2.4,,,,
ball,1,2.5,Gujarat Titans,B Sai Sudharsan,JC Buttler,PP Hinge,1,0,,,,,,"","",2.5,,,,
ball,1,2.6,Gujarat Titans,JC Buttler,B Sai Sudharsan,PP Hinge,0,0,,,,,,"","",2.6,,,,
ball,1,3.1,Gujarat Titans,B Sai Sudharsan,JC Buttler,PJ Cummins,1,0,,,,,,"","",3.1,,,,
ball,1,3.2,Gujarat Titans,JC Buttler,B Sai Sudharsan,PJ Cummins,2,0,,,,,,"","",3.2,,,,
ball,1,3.3,Gujarat Titans,JC Buttler,B Sai Sudharsan,PJ Cummins,0,0,,,,,,"","",3.3,,,,
ball,1,3.4,Gujarat Titans,JC Buttler,B Sai Sudharsan,PJ Cummins,0,0,,,,,,"","",3.4,,,,
