version,1.8.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Rajasthan Royals
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/04/10
info,event,Indian Premier League
info,match_id,1527689
info,match_type,T20
info,overs,20
info,match_number,16
info,venue,"Barsapara Cricket Stadium, Guwahati"
info,city,Guwahati
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,V Suryavanshi
info,umpire,K Swaroopanand
info,umpire,HDPK Dharmasena
info,reserve_umpire,M Krishnadas
info,tv_umpire,VK Sharma
info,match_referee,V Narayan Kutty
info,target_overs,2,20
info,target_runs,2,202
info,winner,Rajasthan Royals
info,winner_wickets,6
info,player,Royal Challengers Bengaluru,PD Salt
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,D Padikkal
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,TH David
info,player,Royal Challengers Bengaluru,R Shepherd
info,player,Royal Challengers Bengaluru,VR Iyer
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,Abhinandan Singh
info,player,Royal Challengers Bengaluru,JR Hazlewood
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,RA Jadeja
info,player,Rajasthan Royals,D Ferreira
info,player,Rajasthan Royals,Ravi Bishnoi
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,N Burger
info,player,Rajasthan Royals,Brijesh Sharma
info,registry,people,Abhinandan Singh,82c10dac
info,registry,people,B Kumar,2e81a32d
info,registry,people,Brijesh Sharma,133bbd61
info,registry,people,D Ferreira,f0af99a7
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,JC Archer,5574750c
info,registry,people,JM Sharma,800d2d97
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,KH Pandya,5b8c830e
info,registry,people,M Krishnadas,e298c588
info,registry,people,N Burger,465aa633
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Parag,04a418e8
info,registry,people,R Shepherd,c5aef772
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RM Patidar,c740ea83
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,TH David,f1f99156
info,registry,people,V Kohli,ba607b88
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,V Suryavanshi,470f446b
info,registry,people,VK Sharma,a7a49df4
info,registry,people,VR Iyer,a24be938
info,registry,people,YBK Jaiswal,6c19c6e5
ball,1,0.1,Royal Challengers Bengaluru,PD Salt,V Kohli,JC Archer,0,0,,,,,,caught,PD Salt,0.1,,Dhruv Jurel,,
ball,1,0.2,Royal Challengers Bengaluru,D Padikkal,V Kohli,JC Archer,0,0,,,,,,"","",0.2,,,,
ball,1,0.3,Royal Challengers Bengaluru,D Padikkal,V Kohli,JC Archer,4,0,,,,,,"","",0.3,,,,
ball,1,0.4,Royal Challengers Bengaluru,D Padikkal,V Kohli,JC Archer,4,0,,,,,,"","",0.4,,,,
ball,1,0.5,Royal Challengers Bengaluru,D Padikkal,V Kohli,JC Archer,1,0,,,,,,"","",0.5,,,,
ball,1,0.6,Royal Challengers Bengaluru,V Kohli,D Padikkal,JC Archer,4,0,,,,,,"","",0.6,,,,
ball,1,1.1,Royal Challengers Bengaluru,D Padikkal,V Kohli,N Burger,4,0,,,,,,"","",1.1,,,,
ball,1,1.2,Royal Challengers Bengaluru,D Padikkal,V Kohli,N Burger,1,0,,,,,,"","",1.2,,,,
ball,1,1.3,Royal Challengers Bengaluru,V Kohli,D Padikkal,N Burger,0,0,,,,,,"","",1.3,,,,
ball,1,1.4,Royal Challengers Bengaluru,V Kohli,D Padikkal,N Burger,4,0,,,,,,"","",1.4,,,,
ball,1,1.5,Royal Challengers Bengaluru,V Kohli,D Padikkal,N Burger,0,5,5,,,,,"","",1.5,,,,
ball,1,1.6,Royal Challengers Bengaluru,V Kohli,D Padikkal,N Burger,0,4,,,4,,,"","",1.5,,,,
ball,1,1.7,Royal Challengers Bengaluru,V Kohli,D Padikkal,N Burger,1,0,,,,,,"","",1.6,,,,
ball,1,2.1,Royal Challengers Bengaluru,V Kohli,D Padikkal,JC Archer,4,0,,,,,,"","",2.1,,,,
ball,1,2.2,Royal Challengers Bengaluru,V Kohli,D Padikkal,JC Archer,0,0,,,,,,"","",2.2,,,,
ball,1,2.3,Royal Challengers Bengaluru,V Kohli,D Padikkal,JC Archer,4,0,,,,,,"","",2.3,,,,
ball,1,2.4,Royal Challengers Bengaluru,V Kohli,D Padikkal,JC Archer,4,0,,,,,,"","",2.4,,,,
ball,1,2.5,Royal Challengers Bengaluru,V Kohli,D Padikkal,JC Archer,1,0,,,,,,"","",2.5,,,,
ball,1,2.6,Royal Challengers Bengaluru,D Padikkal,V Kohli,JC Archer,0,0,,,,,,caught,D Padikkal,2.6,,SO Hetmyer,,
ball,1,3.1,Royal Challengers Bengaluru,V Kohli,RM Patidar,Sandeep Sharma,1,0,,,,,,"","",3.1,,,,
ball,1,3.2,Royal Challengers Bengaluru,RM Patidar,V Kohli,Sandeep Sharma,0,0,,,,,,"","",3.2,,,,
ball,1,3.3,Royal Challengers Bengaluru,RM Patidar,V Kohli,Sandeep Sharma,0,0,,,,,,"","",3.3,,,,
ball,1,3.4,Royal Challengers Bengaluru,RM Patidar,V Kohli,Sandeep Sharma,1,0,,,,,,"","",3.4,,,,
ball,1,3.5,Royal Challengers Bengaluru,V Kohli,RM Patidar,Sandeep Sharma,4,0,,,,,,"","",3.5,,,,
ball,1,3.6,Royal Challengers Bengaluru,V Kohli,RM Patidar,Sandeep Sharma,4,0,,,,,,"","",3.6,,,,
ball,1,4.1,Royal Challengers Bengaluru,RM Patidar,V Kohli,Ravi Bishnoi,0,1,,,,1,,"","",4.1,,,,
ball,1,4.2,Royal Challengers Bengaluru,V Kohli,RM Patidar,Ravi Bishnoi,0,0,,,,,,"","",4.2,,,,
ball,1,4.3,Royal Challengers Bengaluru,V Kohli,RM Patidar,Ravi Bishnoi,1,0,,,,,,"","",4.3,,,,
ball,1,4.4,Royal Challengers Bengaluru,RM Patidar,V Kohli,Ravi Bishnoi,1,0,,,,,,"","",4.4,,,,
ball,1,4.5,Royal Challengers Bengaluru,V Kohli,RM Patidar,Ravi Bishnoi,0,0,,,,,,bowled,V Kohli,4.5,,,,
ball,1,4.6,Royal Challengers Bengaluru,KH Pandya,RM Patidar,Ravi Bishnoi,0,0,,,,,,"","",4.6,,,,
ball,1,5.1,Royal Challengers Bengaluru,RM Patidar,KH Pandya,N Burger,1,0,,,,,,"","",5.1,,,,
ball,1,5.2,Royal Challengers Bengaluru,KH Pandya,RM Patidar,N Burger,0,0,,,,,,"","",5.2,,,,
ball,1,5.3,Royal Challengers Bengaluru,KH Pandya,RM Patidar,N Burger,0,0,,,,,,"","",5.3,,,,
ball,1,5.4,Royal Challengers Bengaluru,KH Pandya,RM Patidar,N Burger,0,0,,,,,,"","",5.4,,,,
ball,1,5.5,Royal Challengers Bengaluru,KH Pandya,RM Patidar,N Burger,1,0,,,,,,"","",5.5,,,,
ball,1,5.6,Royal Challengers Bengaluru,RM Patidar,KH Pandya,N Burger,1,0,,,,,,"","",5.6,,,,
ball,1,6.1,Royal Challengers Bengaluru,RM Patidar,KH Pandya,Ravi Bishnoi,1,0,,,,,,"","",6.1,,,,
ball,1,6.2,Royal Challengers Bengaluru,KH Pandya,RM Patidar,Ravi Bishnoi,0,0,,,,,,caught,KH Pandya,6.2,,SO Hetmyer,,
ball,1,6.3,Royal Challengers Bengaluru,JM Sharma,RM Patidar,Ravi Bishnoi,0,0,,,,,,"","",6.3,,,,
