version,1.8.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Chennai Super Kings
info,team_type,club
info,gender,male
info,season,2023
info,date,2023/04/27
info,event,Indian Premier League
info,match_id,1359511
info,match_type,T20
info,overs,20
info,match_number,37
info,venue,"Sawai Mansingh Stadium, Jaipur"
info,city,Jaipur
info,toss_winner,Rajasthan Royals
info,toss_decision,bat
info,player_of_match,YBK Jaiswal
info,umpire,A Totre
info,umpire,YC Barde
info,reserve_umpire,Mohamad Rafi
info,tv_umpire,RJ Tucker
info,match_referee,M Nayyar
info,target_overs,2,20
info,target_runs,2,203
info,winner,Rajasthan Royals
info,winner_runs,32
info,player,Rajasthan Royals,K Yadav
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,JC Buttler
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,D Padikkal
info,player,Rajasthan Royals,R Ashwin
info,player,Rajasthan Royals,JO Holder
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Rajasthan Royals,YS Chahal
info,player,Rajasthan Royals,A Zampa
info,player,Chennai Super Kings,Akash Singh
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,DP Conway
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,AT Rayudu
info,player,Chennai Super Kings,MM Ali
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,M Pathirana
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,M Theekshana
info,registry,people,A Totre,b1d7d7bc
info,registry,people,A Zampa,14f96089
info,registry,people,AM Rahane,29e95537
info,registry,people,AT Rayudu,70d205c9
info,registry,people,Akash Singh,b483905d
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DP Conway,df5a6881
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,JC Buttler,99b75528
info,registry,people,JO Holder,0f721006
info,registry,people,K Yadav,030f3089
info,registry,people,M Nayyar,b7bccddb
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Theekshana,f24c6701
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mohamad Rafi,0479de6b
info,registry,people,R Ashwin,495d42a5
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RJ Tucker,38810cfc
info,registry,people,S Dube,a4e37e47
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YC Barde,b90f3346
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,Akash Singh,4,0,,,,,,"","",0.1,,,,
ball,1,0.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,Akash Singh,4,0,,,,,,"","",0.2,,,,
ball,1,0.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,Akash Singh,0,0,,,,,,"","",0.3,,,,
ball,1,0.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,Akash Singh,4,0,,,,,,"","",0.4,,,,
ball,1,0.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,Akash Singh,1,0,,,,,,"","",0.5,,,,
ball,1,0.6,Rajasthan Royals,JC Buttler,YBK Jaiswal,Akash Singh,1,0,,,,,,"","",0.6,,,,
ball,1,1.1,Rajasthan Royals,JC Buttler,YBK Jaiswal,TU Deshpande,4,0,,,,,,"","",1.1,,,,
ball,1,1.2,Rajasthan Royals,JC Buttler,YBK Jaiswal,TU Deshpande,2,0,,,,,,"","",1.2,,,,
ball,1,1.3,Rajasthan Royals,JC Buttler,YBK Jaiswal,TU Deshpande,0,0,,,,,,"","",1.3,,,,
ball,1,1.4,Rajasthan Royals,JC Buttler,YBK Jaiswal,TU Deshpande,0,0,,,,,,"","",1.4,,,,
ball,1,1.5,Rajasthan Royals,JC Buttler,YBK Jaiswal,TU Deshpande,4,0,,,,,,"","",1.5,,,,
ball,1,1.6,Rajasthan Royals,JC Buttler,YBK Jaiswal,TU Deshpande,0,0,,,,,,"","",1.6,,,,
ball,1,2.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,Akash Singh,4,0,,,,,,"","",2.1,,,,
ball,1,2.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,Akash Singh,0,0,,,,,,"","",2.2,,,,
ball,1,2.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,Akash Singh,6,0,,,,,,"","",2.3,,,,
ball,1,2.4,Rajasthan Royals,YBK Jaiswal,JC Buttler,Akash Singh,0,0,,,,,,"","",2.4,,,,
ball,1,2.5,Rajasthan Royals,YBK Jaiswal,JC Buttler,Akash Singh,4,0,,,,,,"","",2.5,,,,
ball,1,2.6,Rajasthan Royals,YBK Jaiswal,JC Buttler,Akash Singh,4,0,,,,,,"","",2.6,,,,
ball,1,3.1,Rajasthan Royals,JC Buttler,YBK Jaiswal,M Theekshana,1,0,,,,,,"","",3.1,,,,
ball,1,3.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,M Theekshana,0,0,,,,,,"","",3.2,,,,
ball,1,3.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,M Theekshana,0,1,,,,1,,"","",3.3,,,,
ball,1,3.4,Rajasthan Royals,JC Buttler,YBK Jaiswal,M Theekshana,0,0,,,,,,"","",3.4,,,,
