version,1.8.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Rajasthan Royals
info,team_type,club
info,gender,male
info,season,2023
info,date,2023/04/16
info,event,Indian Premier League
info,match_id,1359497
info,match_type,T20
info,overs,20
info,match_number,23
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,SO Hetmyer
info,umpire,AK Chaudhary
info,umpire,CB Gaffaney
info,reserve_umpire,M Kuppuraj
info,tv_umpire,A Nand Kishore
info,match_referee,Prakash Bhatt
info,target_overs,2,20
info,target_runs,2,178
info,winner,Rajasthan Royals
info,winner_wickets,3
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,HH Pandya
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,A Manohar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,AS Joseph
info,player,Gujarat Titans,Mohammed Shami
info,player,Gujarat Titans,MM Sharma
info,player,Rajasthan Royals,YS Chahal
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,JC Buttler
info,player,Rajasthan Royals,D Padikkal
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Ashwin
info,player,Rajasthan Royals,TA Boult
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Rajasthan Royals,A Zampa
info,registry,people,A Manohar,0890552f
info,registry,people,A Nand Kishore,84424f4f
info,registry,people,A Zampa,14f96089
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AS Joseph,b0946605
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DA Miller,d67d5f00
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HH Pandya,dbe50b21
info,registry,people,JC Buttler,99b75528
info,registry,people,M Kuppuraj,aa4063d0
info,registry,people,MM Sharma,759ac88f
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Parag,04a418e8
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TA Boult,a818c1be
info,registry,people,WP Saha,fe11caa6
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,Gujarat Titans,WP Saha,Shubman Gill,TA Boult,0,1,1,,,,,"","",0.1,,,,
ball,1,0.2,Gujarat Titans,WP Saha,Shubman Gill,TA Boult,0,0,,,,,,"","",0.1,,,,
ball,1,0.3,Gujarat Titans,WP Saha,Shubman Gill,TA Boult,4,0,,,,,,"","",0.2,,,,
ball,1,0.4,Gujarat Titans,WP Saha,Shubman Gill,TA Boult,0,0,,,,,,caught and bowled,WP Saha,0.3,,,,
ball,1,0.5,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,1,0,,,,,,"","",0.4,,,,
ball,1,0.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,TA Boult,0,0,,,,,,"","",0.5,,,,
ball,1,0.7,Gujarat Titans,Shubman Gill,B Sai Sudharsan,TA Boult,0,0,,,,,,"","",0.6,,,,
ball,1,1.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Sandeep Sharma,0,0,,,,,,"","",1.1,,,,
ball,1,1.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Sandeep Sharma,0,0,,,,,,"","",1.2,,,,
ball,1,1.3,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Sandeep Sharma,4,0,,,,,,"","",1.3,,,,
ball,1,1.4,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Sandeep Sharma,1,0,,,,,,"","",1.4,,,,
ball,1,1.5,Gujarat Titans,Shubman Gill,B Sai Sudharsan,Sandeep Sharma,0,0,,,,,,"","",1.5,,,,
ball,1,1.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,Sandeep Sharma,0,0,,,,,,"","",1.6,,,,
ball,1,2.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,0,1,1,,,,,"","",2.1,,,,
ball,1,2.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,4,0,,,,,,"","",2.1,,,,
ball,1,2.3,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,1,0,,,,,,"","",2.2,,,,
ball,1,2.4,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,0,0,,,,,,"","",2.3,,,,
ball,1,2.5,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,0,0,,,,,,"","",2.4,,,,
ball,1,2.6,Gujarat Titans,B Sai Sudharsan,Shubman Gill,TA Boult,3,0,,,,,,"","",2.5,,,,
ball,1,2.7,Gujarat Titans,Shubman Gill,B Sai Sudharsan,TA Boult,4,0,,,,,,"","",2.6,,,,
ball,1,3.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Sandeep Sharma,0,0,,,,,,"","",3.1,,,,
ball,1,3.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Sandeep Sharma,0,0,,,,,,"","",3.2,,,,
